max_value,0.7626262626262627,0.7252604166666667,0.5794392523364487,0.5797101449275363,0.700960768614892,0.68125,0.304040404040404
index_set,0,16,412,8,35,101,237
mean_value,0.6011313131313132,0.516859375,0.38879439252336456,0.5070666666666667,0.27343101147584736,0.2450375,0.12953939393939395

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5681159420289855,0.19068588203896453,0.125,0.09090909090909094,0.819226,0.0663982,0.237364,28,0.00923884,0.0405921,0.244623,47,2.93971,0.260353,0.00554767
1,0.7626262626262627,0.5299479166666667,0.4439252336448598,0.5391304347826087,0.4666399786495863,0.125,0.12929292929292935,0.828569,0.168271,0.286319,23,0.00738758,0.0727361,0.0692332,82,0.834539,0.365118,0.00745517
2,0.7626262626262627,0.6484375,0.4392523364485982,0.5246376811594202,0.2025620496397118,0.25,0.13131313131313127,0.838785,0.0344348,0.070364,52,0.00130934,0.0218582,0.386251,55,1.88841,0.0158204,0.00815117
3,0.3787878787878788,0.296875,0.4953271028037384,0.40289855072463765,0.5026688017080331,0.53125,0.19797979797979803,0.931816,0.042507,0.459705,80,0.00142989,0.0713067,0.310387,24,1.73811,0.563861,0.00897801
4,0.7626262626262627,0.6497395833333333,0.35046728971962615,0.5681159420289855,0.10408326661329059,0.125,0.09090909090909094,0.825666,0.194188,0.00903801,3,0.00596888,0.0806559,0.00576806,39,3.64014,0.356429,0.0095918
5,0.7626262626262627,0.6497395833333333,0.3551401869158879,0.5739130434782609,0.10408326661329059,0.125,0.09090909090909094,0.779434,0.067879,0.433889,35,0.00272448,0.0847911,0.266873,6,3.35148,0.113524,0.00423344
6,0.5454545454545454,0.40494791666666663,0.4392523364485982,0.4869565217391304,0.6646650653856419,0.25,0.14141414141414144,0.868709,0.133127,0.418669,84,0.00778571,0.0480399,0.179087,80,1.16704,0.765169,0.00622914
7,0.7626262626262627,0.6497395833333333,0.3551401869158879,0.5739130434782609,0.10408326661329059,0.125,0.09090909090909094,0.776358,0.0559227,0.124264,71,0.00725731,0.0762234,0.322502,29,2.77899,0.333031,0.00686194
8,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.707952,0.0655484,0.414605,15,0.00832028,0.0754477,0.239592,13,2.30042,0.758639,0.00144211
9,0.7626262626262627,0.7122395833333333,0.3551401869158879,0.5246376811594202,0.2068321323725647,0.125,0.09090909090909094,0.76877,0.0916806,0.435551,39,0.0028165,0.028951,0.0354172,83,0.331084,0.141497,0.00582932
