max_value,0.7626262626262627,0.71875,0.5327102803738317,0.5797101449275363,0.7487323191886843,0.69375,0.297979797979798
index_set,0,78,188,2,422,287,22
mean_value,0.5337676767676768,0.4258645833333334,0.4137570093457944,0.45599420289855075,0.287469442220443,0.27211250000000003,0.1423151515151515

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.7626262626262627,0.42057291666666663,0.4532710280373832,0.4492753623188406,0.3512143047771551,0.125,0.09090909090909094,0.795757,0.049289,0.169531,18,0.00902602,0.0990431,0.416161,18,2.03726,0.437654,0.00343522
1,0.5454545454545454,0.22786458333333337,0.4439252336448598,0.43768115942028984,0.4460902054977315,0.125,0.09090909090909094,0.822206,0.0300699,0.363191,59,0.00339337,0.016833,0.333107,78,3.55686,0.0516067,0.000863749
2,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.714822,0.0662541,0.244042,2,0.00838241,0.0709346,0.0378603,2,1.32546,0.776537,0.00511436
3,0.0,0.03255208333333337,0.06542056074766356,0.10144927536231885,0.0,0.0,0.0,0.997663,0.0794435,0.468308,13,0.00590225,0.0337329,0.196338,96,3.287,0.0217296,0.00247819
4,0.7626262626262627,0.46744791666666663,0.3551401869158879,0.4666666666666667,0.31425140112089667,0.125,0.09090909090909094,0.789474,0.0876102,0.380127,89,0.0034457,0.0360374,0.354539,73,2.00763,0.177276,0.00370658
5,0.5656565656565656,0.5286458333333333,0.4392523364485982,0.49275362318840576,0.5951427808913798,0.25,0.13131313131313127,0.864157,0.0676188,0.319671,34,0.00440381,0.0862247,0.349428,15,0.750506,0.410589,0.00740834
6,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.704743,0.0370786,0.275052,3,0.00237576,0.0301694,0.213462,98,1.46904,0.140078,0.0093512
7,0.4545454545454546,0.31119791666666663,0.4953271028037384,0.4173913043478261,0.37776888177208434,0.35624999999999996,0.195959595959596,0.894286,0.066035,0.198763,27,0.00572099,0.0470141,0.00202857,61,2.63874,0.359279,0.00779277
8,0.7626262626262627,0.6510416666666667,0.4439252336448598,0.40289855072463765,0.10408326661329059,0.125,0.09090909090909094,0.755145,0.0483114,0.360352,55,0.00493233,0.0321455,0.258816,79,3.44798,0.450205,0.00382013
9,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5304347826086957,0.10408326661329059,0.125,0.09090909090909094,0.752243,0.0707985,0.233421,43,0.00836312,0.0903196,0.174413,72,0.517341,0.45254,0.00332905
10,0.4191919191919192,0.30989583333333337,0.44859813084112155,0.3971014492753623,0.4383506805444356,0.475,0.23030303030303034,0.912267,0.0630726,0.345386,28,0.00368522,0.05693,0.0426156,88,1.79553,0.199349,0.00636515
