max_value,0.9802989717445779,0.9996818495148205,0.9986328421692238,0.981942309965717,0.9995665888131757
index_set,147,134,12,0,76
mean_value,0.6781247378562566,0.7339044525212584,0.6776542689305328,0.6873946124930478,0.6836006098578767

experiment,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.8254986380810122,0.8856680634381796,0.7816588074231823,0.981942309965717,0.8620673042179559,0.998348,0.0266372,0.0867618,9,0.00551939,0.0457016,0.39663,23,2.29269,0.658237,0.00347598
1,0.8677168752697454,0.891791637963012,0.8718830773909076,0.892971057294743,0.8755865720129948,0.992366,0.0464447,0.160461,36,0.00475442,0.0171331,0.361958,50,0.826347,0.538934,0.00223192
2,0.8578809180994326,0.8776861241002469,0.8702951889512824,0.8899746865249897,0.848482760204902,0.98376,0.0171358,0.172531,18,0.00322051,0.0298321,0.205466,65,2.14405,0.666816,5.45688e-05
3,0.8649427797676247,0.8920752716671084,0.8720819709527793,0.8936044449698546,0.8605418422636966,0.996766,0.0259379,0.189787,66,0.00872711,0.0316155,0.468261,83,0.486118,0.494141,0.00657283
4,0.3261843355504276,0.39508029857498306,0.3190693235896084,0.3733164789703517,0.2548301577311133,0.982359,0.00659611,0.0648521,87,0.00459779,0.0238455,0.345656,40,2.97702,0.0845213,0.00824203
5,0.6749800213106021,0.627316910908654,0.6136374689946986,0.6284288311989786,0.5973434924240631,0.98206,0.016938,0.222309,22,0.00458607,0.0319566,0.179654,15,2.70026,0.329124,0.000871407
6,0.8794017911485957,0.891791637963012,0.8718830773909076,0.8666745464216064,0.8694469191688137,0.994765,0.0482206,0.25658,56,0.00909914,0.0104234,0.436825,17,1.39502,0.687413,0.00210835
7,0.8743202416918429,0.8915081845632251,0.8718830773909076,0.8928128506466663,0.8821010081566854,0.992042,0.0330578,0.269145,47,0.000509676,0.0259566,0.466517,16,0.451443,0.54507,0.00462376
8,0.8008791208791208,0.8724746805238878,0.8778521448128993,0.8936044449698546,0.8423867222315902,0.998379,0.0235469,0.20289,74,0.00788311,0.0368982,0.380485,100,0.804362,0.676299,0.00792607
9,0.8575023458159174,0.8855970109982634,0.8906771940479805,0.8639175257731959,0.8734426386921765,0.986169,0.040495,0.0535732,62,0.00763644,0.0452927,0.197698,27,2.9192,0.723192,0.00725062
10,0.974740097946559,0.8889651893719297,0.8712869406670212,0.8912338619347993,0.8883571033454388,0.988725,0.0191441,0.190908,34,0.00844662,0.0112481,0.299576,76,2.05084,0.791076,0.00621438
11,0.846520083102493,0.9981998199819982,0.89189600121636,0.8934460138289699,0.8892553626886872,0.994446,0.0423396,0.212581,1,0.00529201,0.03374,0.472897,60,0.612374,0.334232,0.00878788
12,0.8586662005069488,0.9993639014047178,0.9986328421692238,0.8936044449698546,0.8896408873046076,0.997159,0.00500568,0.287126,82,0.00271035,0.0306983,0.153773,66,1.07433,0.441142,0.00543366
13,0.8816259030376883,0.891791637963012,0.89189600121636,0.8934460138289699,0.8575043528728961,0.995258,0.0193811,0.0292342,77,0.000709824,0.0370443,0.375314,45,0.670529,0.285715,0.00247004
14,0.520758043190833,0.7707925765346587,0.7246225825393517,0.8343227437035295,0.7906317719619936,0.98436,0.0456509,0.081261,3,0.00704076,0.0106636,0.320967,2,1.51245,0.351372,0.00801393
15,0.8548400708920584,0.8830875793671616,0.8697012208993706,0.8888758231420508,0.8781708865307687,0.981894,0.038644,0.0379253,42,0.00186737,0.0406132,0.202309,75,0.537217,0.209025,0.0056441
16,0.8575023458159174,0.8855970109982634,0.870691618584877,0.8904464601248675,0.8736943210469444,0.986218,0.0188029,0.230313,56,0.00252956,0.0276421,0.447295,89,0.737487,0.750657,0.00585235
17,0.8539752128825563,0.9686539963551158,0.8695034116755118,0.8752497942870577,0.8715596330275229,0.981416,0.0318659,0.284693,35,0.00143145,0.0380914,0.236152,61,0.635342,0.375373,0.00176595
18,0.8699697100822155,0.891791637963012,0.8652121027824236,0.8666745464216064,0.8758394916111018,0.993703,0.0430833,0.178316,29,0.00835263,0.0192474,0.365908,58,2.82387,0.728389,0.00707923
19,0.8438702583837273,0.7844622146904623,0.8827465591970193,0.8923385668752213,0.8165323065816388,0.99132,0.0321592,0.250801,10,0.00041439,0.0376429,0.482191,94,0.974155,0.137202,0.00555328
20,0.7420140321914981,0.8252848042714033,0.8196103964664684,0.7958201486496431,0.801372344761991,0.990739,0.0374675,0.0839545,37,0.00945037,0.0449089,0.186836,56,1.23063,0.269977,0.00206589
21,0.7591208983265609,0.7997192945288915,0.8194693690840635,0.8853619682577143,0.6804374533278732,0.992652,0.0391047,0.0491262,64,0.00177989,0.0301233,0.22725,90,1.01782,0.167404,0.00935123
22,0.8716334240565463,0.9861903018256003,0.8771537001897534,0.8501377720294663,0.8799414348462664,0.98444,0.0219472,0.204721,68,0.00198474,0.0461937,0.419033,88,0.509358,0.229608,0.00497483
23,0.6412538238449008,0.8588027514407882,0.7996772877332246,0.892971057294743,0.7960093229492354,0.99178,0.0272004,0.259343,5,0.00699707,0.0185839,0.218288,42,1.99058,0.417526,0.00998644
24,0.4096844701003195,0.4093672645155687,0.37776452926683857,0.41276754072962607,0.4121501543838051,0.983627,0.00562024,0.0747418,81,0.000781551,0.0395903,0.342448,4,2.20953,0.401003,0.00767812
25,0.4561590927767277,0.36138136101619756,0.08757716764613188,0.019397120487933628,0.011428022663977688,0.980109,0.0454176,0.132949,26,0.00410952,0.0133926,0.21442,10,2.43186,0.422481,0.00946153
26,0.8285747357049155,0.7783487784330244,0.8257901034701204,0.7049004522777078,0.7270633623998582,0.993465,0.0228459,0.296694,11,0.00629007,0.0202898,0.435775,84,0.913055,0.258718,0.00219125
27,0.8544074230282581,0.8830875793671616,0.8894617134192571,0.941313933593913,0.8851637949627358,0.981658,0.0210929,0.0414393,12,0.00446139,0.0499381,0.331029,49,0.353379,0.66388,0.000654459
28,0.6473070978480562,0.6580453752181501,0.7087966145096295,0.7182083480721613,0.7388422694192782,0.989314,0.0134611,0.235562,25,0.00354054,0.0288071,0.257327,81,1.56427,0.514639,0.00831544
29,0.5753905927089361,0.35465251594283853,0.3459081229084271,0.3706702919966899,0.42347670035048834,0.996565,0.024324,0.122115,88,0.00502949,0.0401254,0.123769,37,2.53567,0.171389,0.0026834
30,0.8850834763613669,0.975954445451016,0.938355308937142,0.9465144903211369,0.9445828640340398,0.984235,0.00192437,0.233608,36,0.00441856,0.0424586,0.221549,86,0.861912,0.771446,0.00571908
31,0.8370035467903496,0.9179786885658866,0.8254414972208541,0.7470503310598895,0.7521691973969631,0.989088,0.0348221,0.290077,33,0.00806223,0.0255372,0.496875,99,1.04667,0.198773,0.00314185
32,0.8488136451912522,0.9841311270031842,0.8693551137978738,0.8467333165308466,0.8857050367475152,0.982488,0.00838988,0.237936,15,0.00877547,0.0101989,0.274102,77,2.95688,0.795863,0.00456083
