max_value,0.9926502756146645,0.9993639014047178,0.9986328421692238,0.9993502274204029,0.9994222018922888
index_set,21,19,19,46,46
mean_value,0.6741490894904016,0.701180560509238,0.6594071555499326,0.66302232987287,0.6574104100712871

experiment,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,a_t,lp,dsbeta,age_wins,e_b,epsilon_ds,minwd,epochs,gamma,h_threshold,tau
0,0.857935338476207,0.891791637963012,0.8718830773909076,0.8666745464216064,0.8571859553038917,0.994157,0.00875338,0.224858,30,0.00504655,0.0458964,0.410341,4,1.40621,0.738029,0.00466335
1,0.37771921665891595,0.3419859236685532,0.3386630434082669,0.3841856662730493,0.3968150035128638,0.992091,0.00354628,0.0511703,69,0.00978365,0.014475,0.464042,13,1.44676,0.143951,0.00674522
2,0.3329219920669899,0.3458857824301047,0.3944996615724413,0.21655928596760843,0.43665092976201947,0.99686,0.0476075,0.147322,64,0.00796646,0.0338809,0.207182,95,2.25981,0.459163,0.0018037
3,0.8583170917718838,0.9326704264371228,0.8313399296872168,0.9473890522189556,0.8863107378524295,0.983979,0.0159063,0.260987,7,0.00359776,0.0353935,0.318001,63,0.784331,0.448631,0.00974058
4,0.22941438162258354,0.2292868913766578,0.21732051801224783,0.21406925174457958,0.22100857943141972,0.993934,0.00128995,0.0557634,53,0.00400517,0.0281593,0.455237,84,2.2117,0.109188,0.00781392
5,0.8624771520584907,0.9986228084114624,0.89189600121636,0.9633024911032029,0.8575043528728961,0.995322,0.00603057,0.0549116,15,0.00302569,0.0464459,0.299975,78,1.95031,0.761355,0.00129414
6,0.8654756780025828,0.8900936161210133,0.8331752849519347,0.8917201209172012,0.8550825288793203,0.990274,0.0174002,0.157951,64,0.00459508,0.0266583,0.219555,74,1.17264,0.438149,0.0021795
7,0.36661842739990347,0.2180122413290586,0.16490702655571776,0.003952627464861469,1.9270143321692412E-4,0.986057,0.0412091,0.145943,57,0.00255297,0.0120362,0.297269,27,2.90688,0.487483,0.00347156
8,0.511544875860287,0.4973094170403587,0.47338385929539684,0.5129931168319233,0.5140934222084431,0.988655,0.00490112,0.209305,1,0.00601551,0.0491529,0.294389,68,2.1381,0.499537,0.000183626
9,0.849978079789566,0.890238082613076,0.8913522969272893,0.8802163376285613,0.883506371498085,0.997939,0.0208783,0.0684621,20,0.00802535,0.037806,0.111389,8,1.20415,0.79869,0.000426314
10,0.8734155385013366,0.8909418179893059,0.8714855623100304,0.872593882853094,0.8754601669834701,0.99167,0.0367654,0.176292,33,0.00540238,0.0131259,0.401899,23,1.33478,0.6391,0.00417448
11,0.3572880011894731,0.3291461892333074,0.2815884863119683,0.27195968347995225,0.26256730731438904,0.983391,0.0050302,0.131077,29,0.00820754,0.0465388,0.261222,25,1.83105,0.0971776,0.00326327
12,0.5803503747999663,0.6925339906177943,0.5257043994068216,0.6264974814245831,0.5014360250825715,0.988148,0.0434326,0.022835,24,0.00033656,0.0381272,0.442966,28,1.3129,0.11202,0.00816949
13,0.8450078410872974,0.8668963689371852,0.8831761484636447,0.8927178153446034,0.8807293046556998,0.996756,0.0295673,0.0304793,3,0.00682266,0.0460427,0.421447,54,0.348555,0.196669,0.00607715
14,0.848804560537735,0.885317481193119,0.8703942625128069,0.8506639657888814,0.8868214448632686,0.985466,0.0215461,0.168465,45,0.00951325,0.0175293,0.343789,85,0.502812,0.233762,0.00636543
15,0.6820938695530465,0.8323987814031525,0.6270485183574579,0.7454080286360039,0.7504012351949292,0.997038,0.0155088,0.282366,68,0.00347565,0.0241416,0.162893,67,2.27297,0.563776,0.00516029
16,0.3954035770549532,0.461975765446771,0.3837215447921779,0.43138374509504496,0.37418608016206045,0.986848,0.00926908,0.267358,59,0.00345737,0.0163584,0.348905,70,2.77653,0.306547,0.00115011
17,0.8649133293484758,0.8799051883065578,0.870691618584877,0.8774157435776573,0.8803217673190059,0.986434,0.042383,0.172888,44,0.00103988,0.0421162,0.175852,64,1.70297,0.70506,0.000364678
18,0.7173493108077137,0.7516616816218012,0.8682623477354654,0.6988641252904225,0.7421688199481604,0.998322,0.0219796,0.234971,79,0.00056122,0.0255654,0.236246,61,1.29449,0.132047,0.0090956
19,0.8643475220697492,0.9993639014047178,0.9986328421692238,0.8936044449698546,0.8797726013537928,0.997362,0.00453285,0.0857743,86,0.00471262,0.0454367,0.395264,63,0.487245,0.341921,0.00587623
20,0.8470969916575377,0.8825318579894069,0.8892594557720003,0.8445338249259817,0.884803334451205,0.981242,0.00848034,0.104396,88,0.00212616,0.0303676,0.230178,6,1.26099,0.603067,0.00881436
21,0.9926502756146645,0.8920752716671084,0.8656069364161849,0.8802163376285613,0.8719919061498808,0.997231,0.0488513,0.130123,41,0.00669543,0.0229728,0.332551,70,1.7846,0.663034,0.00714147
22,0.8659229907830132,0.8909418179893059,0.8714855623100304,0.8657535863982526,0.8754601669834701,0.991323,0.0377226,0.144239,48,0.00639829,0.0279241,0.139216,37,0.375225,0.766485,0.00834867
23,0.8571183091330871,0.889529044875522,0.8912861809617868,0.8645286800683841,0.8684432045022727,0.989039,0.0374173,0.207166,81,0.00755589,0.0336914,0.45212,93,0.396085,0.777839,0.00947239
24,0.36540735984861283,0.3939856223355346,0.33179043577607314,0.4168532621597172,0.3228991715957128,0.996167,0.00897158,0.180794,94,0.00835623,0.0405866,0.363184,87,2.81646,0.224186,0.00559345
25,0.8622627053715842,0.8790717255170236,0.870691618584877,0.8518502866641311,0.8868214448632686,0.985852,0.0236687,0.233596,17,0.00614908,0.0431506,0.366489,92,0.560393,0.328305,0.00606496
26,0.7732329960753249,0.8211594581645543,0.8156312625250501,0.8040608372653348,0.8441687934002018,0.990728,0.0241022,0.0521224,49,0.000463661,0.0269188,0.339541,37,2.91766,0.51104,0.00243643
27,0.8498752902726413,0.8898112409453814,0.8912861809617868,0.8915492127145132,0.8688193258102548,0.989844,0.0293113,0.268518,92,0.0061934,0.0350073,0.243952,12,2.16029,0.711784,0.00652202
28,0.8723422871642313,0.8923590858476059,0.8584385457864314,0.866828230287268,0.8764724303230313,0.997693,0.0333525,0.179112,80,0.00869531,0.017323,0.185576,49,2.62876,0.749182,0.00186132
29,0.8620425531914894,0.9826435942875013,0.9460183836094472,0.9744409405733869,0.8960284912583639,0.985818,0.00250865,0.044259,59,0.00235575,0.0488755,0.457908,75,0.685151,0.752676,0.00524283
30,0.7226666666666667,0.5863439306358382,0.6356090364550933,0.8221413781203267,0.5525284110797377,0.980424,0.0448945,0.182556,56,0.00785184,0.0368571,0.371393,73,2.73376,0.555765,0.00400713
31,0.8662563924763803,0.891791637963012,0.8718830773909076,0.8934460138289699,0.8826106844500085,0.993917,0.0401768,0.120905,9,0.00485052,0.031939,0.441252,53,1.37294,0.696019,0.00228232
32,0.07304309586631486,0.0,0.0,0.0,0.0,0.99551,0.0394348,0.292234,36,0.00205106,0.0204603,0.431254,84,2.71182,0.121409,0.00284175
33,0.8538804794820194,0.9993639014047178,0.857665033993713,0.963919948721601,0.8897694698046396,0.997558,0.00384346,0.283616,28,0.00629624,0.0244237,0.125117,19,0.799152,0.293146,0.00551533
34,0.5836022124913575,0.5331707007983779,0.511305442235917,0.5309775013688778,0.6186575052854122,0.98169,0.0133975,0.0948693,4,0.00166689,0.0211225,0.1143,26,1.73652,0.423804,0.00237401
35,0.34896364254162415,0.14842943713779144,1.520912547529063E-4,0.014629847238542881,0.018054138407058384,0.98131,0.0445595,0.100462,77,0.00550225,0.013744,0.397349,73,2.09649,0.271094,0.00897893
36,3.966330263099893E-4,0.0,0.0,0.0,0.0,0.994652,0.0462834,0.0921924,39,0.00847104,0.0222636,0.19119,22,1.36164,0.225772,0.00640984
37,0.6986033618820854,0.48799681034120956,0.6663388549125664,0.7354187769899238,0.6718805584002587,0.990109,0.0257853,0.200914,77,0.00333733,0.0103868,0.385276,82,2.37477,0.188616,0.00387747
38,0.34658439841339794,0.28175879140509363,0.24003650745360516,0.1373522458628842,0.07992676992749259,0.995876,0.038122,0.195113,12,0.007196,0.0109198,0.240314,90,2.0315,0.153401,0.0038179
39,0.5504576251040056,0.4767781908302354,0.46789088207196683,0.5844756883421207,0.4888226351948526,0.986682,0.0470637,0.0368154,58,0.00535044,0.019838,0.437543,30,2.71883,0.607173,0.00747128
40,0.4309016393442623,0.4457562379086264,0.38872042251882644,0.5989748506527031,0.38903769453351056,0.989562,0.0117267,0.228504,87,0.00921628,0.0190595,0.353253,83,2.97257,0.135847,0.00531717
41,0.8711619506321493,0.8900936161210133,0.8912861809617868,0.8555260030558542,0.8819736810450598,0.990149,0.0282796,0.028382,66,0.00372254,0.0360069,0.462116,31,0.848566,0.478611,0.000125472
42,0.5143608460091129,0.45972274716833905,0.4870757119703635,0.5140764824746653,0.49882842071111855,0.988523,0.00165344,0.0577566,75,0.00411376,0.0122223,0.254126,45,0.765915,0.246702,0.00155964
43,0.9869508481948673,0.891791637963012,0.89189600121636,0.8934460138289699,0.8760925573667863,0.994893,0.0344372,0.0456237,100,0.00429762,0.0444014,0.311723,98,1.66541,0.715873,0.00398232
44,0.8698153714040361,0.9949337695920629,0.8712869406670212,0.9550907499929432,0.8883571033454388,0.98886,0.0147341,0.113461,39,0.00170387,0.0198975,0.400844,11,0.89712,0.552558,0.00259291
45,0.483580091352969,0.6208364810109196,0.5967904443438518,0.6211335471746103,0.6611283613568457,0.984527,0.0254226,0.205036,33,0.00382189,0.024089,0.135761,35,2.86112,0.207207,0.00671317
46,0.9818260493292946,0.9981998199819982,0.9981021786988538,0.9993502274204029,0.9994222018922888,0.993579,0.00664074,0.021457,9,0.00230499,0.0249786,0.337234,24,1.13023,0.531103,0.00741807
47,0.3861299112244001,0.3319365618204,0.13386066321874046,0.0014627011214042307,0.0838753191694368,0.992918,0.049799,0.285837,22,0.00122186,0.0358024,0.286876,29,2.02755,0.277299,0.0041106
48,0.8811657242279252,0.8852207090244291,0.8718830773909076,0.8934460138289699,0.8893838337627314,0.995074,0.0200755,0.299277,20,0.00364456,0.010221,0.444727,77,1.87129,0.631855,0.00687227
49,0.8377561017165737,0.9981998199819982,0.8561628840399913,0.8595511207766549,0.9993379954502233,0.99319,0.00576545,0.177758,31,0.00900865,0.0340823,0.40813,44,1.71126,0.669677,0.00681563
50,0.40972891440063686,0.3386442565149387,0.32522168759102554,0.07169450371569419,0.21440687141362014,0.991858,0.039841,0.123435,67,0.00179533,0.0325957,0.480375,4,2.55254,0.352432,0.000337714
51,0.7854021918200702,0.8227002967359051,0.7033562969710772,0.7525886101154918,0.7502183406113537,0.994521,0.021805,0.151842,52,0.00433088,0.0310737,0.202832,88,2.35454,0.482616,0.000930455
52,0.7055530532140789,0.828328145028383,0.6605153978038661,0.748897805518403,0.7453362255965292,0.980155,0.0210275,0.0974372,81,0.00649035,0.0403863,0.285261,88,2.58723,0.568145,0.00474357
53,0.29106386379985616,0.17401088549298727,0.23611956191055672,0.08703747487882729,0.1864957964974827,0.998568,0.0306169,0.192297,91,0.00992716,0.04241,0.361016,18,1.98143,0.1462,0.00661086
54,0.560062789160608,0.5265062468633614,0.6275935748692669,0.5719416550612035,0.2529556798364303,0.986975,0.0443911,0.266243,25,0.000593268,0.0452,0.468323,9,1.58361,0.255662,0.00110913
55,0.6378253780851184,0.49358571578175725,0.5092415675570287,0.5122475550307324,0.4910669990017992,0.984715,0.00697983,0.0249846,26,0.000796883,0.0334411,0.13312,78,2.44315,0.618245,0.00790704
56,0.463923314482814,0.32628319512963155,0.10815842924847663,0.12237182656236367,0.28292513058618685,0.981138,0.0418402,0.0338847,28,0.00699476,0.0372706,0.264283,3,2.8235,0.473551,0.00380612
57,0.7597400070057992,0.8137828203993197,0.7806344862697681,0.7797270435049428,0.7806217302953002,0.992973,0.0250963,0.0690767,10,0.00994706,0.027733,0.34649,98,1.57564,0.0544667,0.00657262
