max_value,0.965948575399583,0.9717560714138457,0.9688089961421653,0.957091438508513
index_set,33,73,73,113
mean_value,0.5491821462239413,0.4497280441028175,0.41311160079428416,0.32049538037521547

experiment,N10_CE,N30_CE,N50_CE,N70_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
87,0.4161412358133669,0.23972239938599238,0.18508703645427893,0.09312250123534438,0.941267,0.192434,0.375261,12,0.00265893,0.0823319,0.0337743,0.459898,34
88,0.8348348348348349,0.7131866648670535,0.7695450731458173,0.7893139445685888,0.971725,0.0320578,0.108466,68,0.00420041,0.0471561,0.0177073,0.0978795,48
89,0.1854132197781334,0.10651444934252663,0.08799255619020807,0.03238311985768649,0.903807,0.18186,0.168797,37,0.00512656,0.0401243,0.041036,0.174899,51
90,0.6174609137936017,0.47767702936096723,0.37415235958933657,0.20265470523617723,0.952393,0.029223,0.188027,48,0.00216736,0.0870177,0.0463486,0.411992,44
91,0.3268885492558574,0.1740742735364944,0.1190545946550613,0.06288963886157695,0.933768,0.111495,0.241278,82,0.00790145,0.0121965,0.0165644,0.073793,41
92,0.7652939690330963,0.6912806450559854,0.5941546737653551,0.5231558237725755,0.964653,0.103403,0.0310753,62,0.00569413,0.0742223,0.0141032,0.368049,75
93,0.3757688723205964,0.19861880440256097,0.15373657755679315,0.07869937750686462,0.939336,0.035946,0.251539,16,0.00442462,0.0810991,0.0194592,0.257037,38
94,0.8456198110506727,0.8583916083916083,0.7651436172124959,0.6393123483782084,0.969105,0.126857,0.235069,12,0.00917671,0.0585663,0.0288593,0.432116,86
95,0.8728253241236656,0.7984285282562708,0.6465489821882952,0.7596516007532956,0.977069,0.0161956,0.181358,20,0.00203591,0.0249969,0.0308959,0.370199,2
96,0.4746886299718762,0.3242702678316315,0.23203914477183274,0.13084961381190363,0.947642,0.0519477,0.262481,7,0.00775776,0.0488377,0.0137326,0.236603,60
97,0.7516792835057042,0.852411575562701,0.9079579983845533,0.6722363002850807,0.978521,0.106837,0.38867,11,0.00839895,0.0171756,0.0378301,0.329465,88
98,0.937586795222791,0.906775422261552,0.8660096956210761,0.7586180063808263,0.979406,0.113065,0.483468,89,0.00734688,0.00789234,0.0109401,0.429566,79
99,0.16060323272330934,0.09536945135496289,0.06447565887426376,0.030758062625309224,0.90024,0.0110149,0.21421,22,0.00190838,0.0293151,0.0234597,0.294086,8
100,0.16893723987307863,0.1167558446050404,0.07843911221910593,0.03190115454729592,0.905066,0.0930271,0.404187,66,0.0054776,0.0330887,0.0351425,0.435692,87
101,0.1697691364976317,0.09698210311348854,0.07365756909988175,0.03241592213047784,0.902868,0.0387895,0.0703245,9,0.00698059,0.0618622,0.0130185,0.225473,96
102,0.5527121216018107,0.3765270656251075,0.31820011500862566,0.17752025931928683,0.951563,0.078785,0.100505,27,0.0041753,0.0532784,0.0115035,0.391444,93
103,0.46013458613721114,0.2697673278250423,0.18167498030979257,0.09723209225759444,0.942066,0.123331,0.00971265,56,0.00103608,0.0970647,0.0225516,0.122382,100
104,0.9264850029405999,0.7770016910521285,0.8240487538088913,0.7528034066713982,0.97331,0.0428222,0.212193,69,0.00561938,0.0524881,0.0300776,0.165901,36
105,0.7925599462164787,0.7651399037604705,0.7228364728364729,0.5254618697041256,0.966635,0.0240557,0.333192,98,0.00375735,0.00684858,0.0357143,0.408539,17
106,0.37694090584319395,0.19779208017210093,0.13748144081647928,0.07552484719638586,0.936984,0.180817,0.277784,91,0.00881145,0.0379084,0.0376337,0.253099,66
107,0.9290347945744053,0.9689992599292822,0.8470796069338633,0.6959806215872234,0.99325,0.0529814,0.470673,85,0.00594215,0.0501542,0.0455693,0.0874501,72
108,0.885051874602045,0.8524299253881831,0.8271638647267621,0.68240360621428,0.983529,0.119547,0.199182,39,0.0062443,0.0279818,0.0179521,0.0431555,1
109,0.13936584081668468,0.11321434369672867,0.06715415759163001,0.027370261924234973,0.903986,0.160791,0.293397,37,0.0031401,0.0137176,0.0106175,0.299648,81
110,0.8851050158628168,0.7882141679187892,0.8532686855405349,0.7508510027478161,0.994997,0.176821,0.446018,97,0.00030286,0.0912081,0.0138843,0.277838,88
111,0.7660058498537536,0.716206298372031,0.5689948892674617,0.4906133514063029,0.964926,0.113779,0.165659,26,0.00496386,0.0577905,0.0104558,0.183141,54
112,0.4477965566261254,0.2695734457375296,0.20750572423164992,0.10068807232889954,0.943581,0.0699908,0.190714,43,0.00611208,0.0758399,0.0327914,0.291901,75
113,0.8614341438518465,0.8630109019639868,0.7670277367470868,0.957091438508513,0.985911,0.137523,0.310828,93,0.00175819,0.0565111,0.0257308,0.131129,59
114,0.8175443831120394,0.835641532937642,0.9616653766244347,0.5738552437223043,0.99415,0.0631023,0.223,58,0.0069079,0.0458707,0.0451819,0.333344,61
115,0.2912466708294572,0.12235825996668759,0.07398538268753851,0.035018506686466666,0.923295,0.157244,0.0264138,9,0.00335338,0.0896608,0.0433525,0.172072,80
116,0.7965869549122677,0.7822064320343436,0.8615957369151033,0.7482289206834283,0.970339,0.0890794,0.230127,68,0.00171503,0.0228476,0.0219652,0.0332777,80
117,0.7563287842483593,0.6164494877673622,0.6651638535884359,0.38647839572964005,0.961699,0.114877,0.364099,73,0.00621176,0.0686081,0.0290266,0.350223,84
118,0.28070264895596975,0.12079175880481097,0.07981888699243822,0.042299896325608266,0.925721,0.198731,0.204173,24,0.00474723,0.0818958,0.0443273,0.168551,29
119,0.9015986874737686,0.8219327240909975,0.9240947347817576,0.7477696674776967,0.976304,0.0194426,0.0426602,43,0.00272064,0.00398603,0.0162275,0.0342494,62
120,0.18114488260155892,0.1017063283638372,0.06355886178363634,0.02686558811694384,0.908619,0.120857,0.160371,64,0.00197434,0.0195891,0.0230882,0.271167,51
121,0.7204705113543539,0.5103149257558451,0.4263342668928247,0.25054853685012823,0.95655,0.12506,0.239771,17,0.0073933,0.096138,0.0305329,0.219969,5
122,0.7678665496049166,0.5955760420472751,0.517208930293834,0.2847990227293402,0.957154,0.167881,0.343514,15,0.00256072,0.0175231,0.0446171,0.471135,92
123,0.2583822403674406,0.13030209850256147,0.0836991802827749,0.042336005975250224,0.926091,0.0620455,0.186666,93,0.00760764,0.0409777,0.0347874,0.359768,56
124,0.4975316691505216,0.37258623962449744,0.2922009127458437,0.15255921697040764,0.947097,0.163336,0.144213,67,0.000242291,0.0465186,0.0154818,0.399316,16
125,0.7818388029122306,0.6238857075388158,0.609009009009009,0.38510520487264677,0.962914,0.0962046,0.462807,74,0.00950136,0.0146105,0.0217304,0.055019,23
126,0.729547772866372,0.5986687548942835,0.5878427173344623,0.3968613492962304,0.961328,0.000973372,0.0645402,32,0.0093616,0.0484204,0.0186746,0.0723315,3
127,0.17968958611481978,0.10115293853241936,0.06150781885905565,0.031749137011630624,0.907683,0.00403378,0.246382,96,0.00289063,0.0959481,0.0315455,0.245733,50
128,0.3987249446215355,0.19879398793987935,0.15767195767195763,0.07672048357153283,0.938098,0.179013,0.00111949,81,0.00340409,0.0185595,0.0477381,0.0580788,98
129,0.18450634392957876,0.08938372745697065,0.06002054298234205,0.03226589977265215,0.905866,0.0101573,0.0600611,32,0.00409793,0.0867347,0.048795,0.378402,46
130,0.7962466487935657,0.7922549415086728,0.7224333299099654,0.5834916962736512,0.968078,0.185895,0.27121,44,0.00999014,0.0542692,0.0191025,0.08067,14
131,0.2929520319350828,0.15595226571898724,0.11643821540864352,0.05407450147599979,0.931481,0.0377778,0.116333,64,0.00657751,0.0129638,0.0389699,0.2288,85
132,0.44843139220206474,0.23588935163980695,0.17914955944963462,0.09142166895411463,0.940607,0.105491,0.110118,18,0.00552834,0.0223616,0.0367213,0.439576,64
133,0.7056082542852389,0.5311579920675475,0.47028412732322156,0.29754811784410096,0.958348,0.132479,0.477217,65,0.00437916,0.064256,0.0253463,0.107491,34
134,0.33010760453527843,0.1397530832996361,0.10116537432548856,0.04512504748005841,0.927834,0.188922,0.468649,62,0.000863983,0.0919648,0.0452266,0.485458,3
135,0.7757484810775199,0.7687160940325497,0.7826119072241099,0.6871676825314486,0.970725,0.129625,0.122519,50,0.00282143,0.0607306,0.0293124,0.152235,56
136,0.3524354846384443,0.18396277101363023,0.12161135316273708,0.06356615511060093,0.935729,0.190101,0.147,71,0.00301323,0.0655555,0.0275526,0.241934,6
137,0.8482755883636941,0.8971108827223935,0.83949536355315,0.7097483239916474,0.974639,0.134825,0.488189,75,0.00639892,0.0575349,0.0473185,0.0254882,22
138,0.17941500327021953,0.09585666824869488,0.0627123852216036,0.029069079363524652,0.901246,0.0414178,0.141388,48,0.00141204,0.0674916,0.0311553,0.0684257,49
139,0.1621355355137818,0.11224676849599435,0.06449126486777668,0.04199122790889609,0.902552,0.0947965,0.483282,46,0.00398173,0.0254913,0.0283481,0.204585,25
140,0.3640447259565667,0.18056309499696177,0.1276155710887218,0.06457245536683953,0.935461,0.0804668,0.441,3,0.00224095,0.0473362,0.0276989,0.488723,13
141,0.21504921056098159,0.11888813759878292,0.07496616597884742,0.036091372018757784,0.918112,0.0129218,0.42721,66,0.00347619,0.0992585,0.0360415,0.360593,45
142,0.958581801955296,0.8569576140692114,0.8280359234673955,0.7302131639452867,0.980764,0.0670496,0.325551,41,0.00183024,0.00941201,0.0491032,0.142464,65
143,0.7898864654914849,0.8674382336042026,0.8379137174265491,0.845810832924235,0.988097,0.142498,0.426652,30,0.00446188,0.0601959,0.034245,0.463086,9
144,0.16183156020059053,0.09553039661415552,0.06279142574548191,0.03121087337581041,0.908278,0.140633,0.367894,94,0.00167559,0.0355929,0.0448804,0.375494,71
145,0.20155538798390105,0.1002726339269907,0.07028896677898444,0.029220930473311535,0.914693,0.0985047,0.329595,7,0.00712137,0.0305569,0.0386297,0.30589,13
146,0.737289901375191,0.5155328534943115,0.46221993965461894,0.288480194017785,0.95494,0.134652,0.355,80,0.000406043,0.0949014,0.0398961,0.0777356,70
147,0.20621300707376933,0.12318528493002823,0.07979523073510619,0.03574269535388974,0.918851,0.153435,0.347605,40,0.00728659,0.0976903,0.016759,0.348467,91
148,0.8696546052631579,0.8679725678616894,0.9641792264019933,0.661720587042893,0.987703,0.0138964,0.0341181,36,0.00886713,0.0764233,0.0241001,0.38137,96
149,0.2639654853946223,0.1456757157691737,0.0967068605634046,0.04728387543833856,0.928875,0.0543652,0.131826,89,0.00924088,0.0492513,0.0461234,0.0657001,4
