max_value,0.7626262626262627,0.7200520833333333,0.5420560747663552,0.5797101449275363,0.7563384040565786,0.71875,0.3090909090909091
index_set,1,115,77,59,392,426,476
mean_value,0.5231111111111111,0.4455338541666667,0.41676635514018695,0.47182028985507246,0.34303869762476646,0.28085000000000004,0.14961616161616165

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs
0,0.5808080808080809,0.5143229166666667,0.4392523364485982,0.5391304347826087,0.47357886309047237,0.125,0.12929292929292935,0.855879,0.0872775,0.00981661,8,0.0145116,0.346497,0.0950304,0.261611,4
1,0.7626262626262627,0.39322916666666663,0.4439252336448598,0.5130434782608695,0.48065118761676007,0.23124999999999996,0.18181818181818177,0.832265,0.0228028,0.0888611,5,0.0437178,0.274594,0.0700526,0.232911,49
2,0.7626262626262627,0.5247395833333333,0.43457943925233644,0.5043478260869565,0.3836402455297572,0.125,0.09090909090909094,0.805069,0.0616347,0.027928,24,0.0830106,0.0447129,0.060644,0.235295,52
3,0.16161616161616166,0.24609375,0.44859813084112155,0.2985507246376812,0.06458500133440082,0.54375,0.21111111111111114,0.978345,0.0538583,0.0932364,25,0.0695221,0.0197082,0.040493,0.239782,35
4,0.3282828282828283,0.43880208333333337,0.4719626168224299,0.5420289855072464,0.29770483053109154,0.44375,0.1707070707070707,0.915737,0.0945867,0.0429253,85,0.00543408,0.0302871,0.0994814,0.175421,7
5,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5101449275362319,0.20549773151854822,0.125,0.09090909090909094,0.731001,0.0277705,0.0625097,98,0.0613945,0.293191,0.010059,0.473883,100
6,0.2222222222222222,0.28776041666666663,0.29439252336448596,0.2927536231884058,0.08139845209500929,0.35,0.04040404040404044,0.991083,0.0717106,0.0362489,87,0.0217442,0.215348,0.0244688,0.203285,12
7,0.30808080808080807,0.4140625,0.44859813084112155,0.5304347826086957,0.29597010942087,0.4625,0.18787878787878787,0.891172,0.0937232,0.0594666,92,0.0731293,0.394252,0.0709787,0.292166,21
8,0.7626262626262627,0.5963541666666667,0.3551401869158879,0.5391304347826087,0.2068321323725647,0.125,0.09090909090909094,0.76619,0.0915676,0.0126495,52,0.0039779,0.320822,0.031184,0.278396,52
9,0.48484848484848486,0.31640625,0.37850467289719625,0.43768115942028984,0.09340805978115829,0.35624999999999996,0.07878787878787874,0.972939,0.0775579,0.0904825,70,0.0545327,0.484066,0.0776728,0.0612285,76
10,0.19191919191919193,0.46875,0.4252336448598131,0.22318840579710142,0.06498532159060577,0.575,0.18787878787878787,0.977618,0.0563958,0.038761,72,0.0752482,0.0388643,0.0394517,0.4228,44
11,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5246376811594202,0.20696557245796632,0.125,0.09090909090909094,0.724211,0.0996173,0.0549897,16,0.0914748,0.120945,0.0198634,0.22368,79
12,0.7626262626262627,0.5703125,0.3551401869158879,0.536231884057971,0.20496397117694154,0.125,0.09090909090909094,0.774945,0.00401703,0.0332105,68,0.074602,0.150696,0.0460521,0.118644,11
13,0.26262626262626265,0.32291666666666663,0.49065420560747663,0.4521739130434783,0.5197491326394449,0.50625,0.25050505050505045,0.929762,0.0215031,0.0113354,32,0.0774388,0.350375,0.0338646,0.227111,61
14,0.25757575757575757,0.31119791666666663,0.4953271028037384,0.5391304347826087,0.2053642914331465,0.33125000000000004,0.16666666666666663,0.901671,0.081301,0.0401994,48,0.029467,0.431892,0.0337284,0.0752608,24
15,0.7626262626262627,0.45833333333333337,0.35046728971962615,0.48985507246376814,0.4842540699226048,0.125,0.13030303030303025,0.828495,0.0344537,0.0269105,4,0.0268942,0.182269,0.0721213,0.273449,24
16,0.5707070707070707,0.41015625,0.4439252336448598,0.4869565217391304,0.5234854550306912,0.23750000000000004,0.1898989898989899,0.875168,0.051482,0.0317818,36,0.0226017,0.386978,0.0801486,0.125971,59
17,0.7626262626262627,0.44791666666666663,0.43457943925233644,0.5101449275362319,0.451694689084601,0.125,0.14040404040404042,0.833091,0.0527192,0.0100467,50,0.0376214,0.233252,0.0692229,0.00278128,17
18,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5304347826086957,0.2068321323725647,0.125,0.09090909090909094,0.714029,0.0795812,0.0541899,68,0.00173551,0.191779,0.0202593,0.167665,8
19,0.2676767676767676,0.328125,0.4158878504672897,0.4260869565217391,0.48478783026421135,0.39375000000000004,0.2161616161616161,0.902435,0.0249521,0.0601142,98,0.0462568,0.487018,0.0159621,0.362926,40
20,0.4545454545454546,0.39322916666666663,0.5233644859813085,0.5507246376811594,0.5561782759540966,0.23124999999999996,0.18181818181818177,0.846611,0.0176303,0.0175902,81,0.0619334,0.239915,0.0307476,0.214715,31
21,0.7626262626262627,0.5377604166666667,0.43457943925233644,0.5130434782608695,0.4100613824392848,0.125,0.1333333333333333,0.810284,0.0414363,0.0673902,45,0.0544,0.159785,0.0103197,0.240463,62
22,0.40909090909090906,0.5885416666666667,0.4953271028037384,0.4492753623188406,0.4958633573525487,0.29374999999999996,0.17979797979797985,0.887093,0.088759,0.0289147,17,0.0258227,0.349076,0.0947944,0.389625,70
23,0.7626262626262627,0.5677083333333333,0.46261682242990654,0.5304347826086957,0.3018414731785428,0.125,0.09090909090909094,0.773651,0.0840228,0.0373005,92,0.00132985,0.177375,0.0472291,0.0954787,84
24,0.38888888888888884,0.39192708333333337,0.5046728971962617,0.48405797101449277,0.5683213237256473,0.4,0.19393939393939397,0.897498,0.0594999,0.00183592,72,0.0121951,0.0281501,0.0712963,0.311442,27
25,0.7626262626262627,0.5494791666666667,0.3551401869158879,0.5246376811594202,0.20549773151854822,0.125,0.09090909090909094,0.767249,0.0480933,0.0596395,88,0.0442993,0.0482316,0.0958019,0.197035,41
26,0.7626262626262627,0.5221354166666667,0.3551401869158879,0.5391304347826087,0.3059781158259941,0.125,0.09090909090909094,0.771468,0.0207439,0.0315852,75,0.0820408,0.11902,0.0566126,0.377284,32
