max_value,0.8266613290632506
clusters_found,10
index_set,369
mean_value,0.5605906058179877

experiment,pendigits_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs,push_rate,supervision_rate
214,0.10408326661329059,0.875306,0.0876526,0.47913,36,0.00850816,0.515838,0.0477683,0.479253,79,3.65426,0.0530958
215,0.7005604483586869,0.877945,0.041242,0.0375797,80,0.00628138,0.0190481,0.0253193,0.014043,23,11.184,0.251418
216,0.7308513477448626,0.800698,0.0499297,0.0210587,30,0.000663185,0.0509273,0.0138535,0.30059,60,4.798,0.168934
217,0.3829730451027489,0.83975,0.0845303,0.385352,85,0.0062333,0.14048,0.0377353,0.347817,34,6.81804,0.31708
218,0.5608486789431546,0.864547,0.071169,0.0817053,83,0.0015448,0.624182,0.0605827,0.316668,9,12.3826,0.249023
219,0.6904190018681612,0.806603,0.0423943,0.457463,63,0.00800046,0.27193,0.0543093,0.274186,17,3.95161,0.168203
220,0.673071790765946,0.84057,0.0228461,0.274193,34,0.00116184,0.180436,0.0310734,0.145508,88,13.0523,0.247319
221,0.46850813984520945,0.862689,0.0631272,0.0973277,60,0.0041432,0.422486,0.0716932,0.451738,9,6.84597,0.311551
222,0.47558046437149715,0.840262,0.0859367,0.414453,31,0.00378605,0.648535,0.0469304,0.262844,27,3.37929,0.381138
223,0.32759540966106215,0.834055,0.0810949,0.383301,52,0.00271124,0.969498,0.0487319,0.102831,6,13.8762,0.220128
224,0.6377101681345076,0.802174,0.0259742,0.0361198,39,0.000165943,0.842234,0.0121021,0.0989329,78,11.4318,0.287381
225,0.38497464638377366,0.817996,0.0861074,0.0249191,53,0.00866641,0.226382,0.0619602,0.352141,43,6.45824,0.171964
226,0.573792367227115,0.863254,0.0506375,0.326503,22,0.00143081,0.0840397,0.0743957,0.425921,18,12.1689,0.098631
227,0.5788630904723779,0.86813,0.0103071,0.0821153,73,0.00460465,0.742703,0.0699835,0.201982,89,3.77584,0.0612807
228,0.5836669335468374,0.800963,0.0277733,0.18912,21,0.00755118,0.866362,0.0485928,0.36678,52,5.06054,0.103381
229,0.7215105417667467,0.845754,0.03916,0.471931,39,0.00424502,0.445893,0.0330013,0.396686,61,6.39013,0.280657
230,0.6107552708833734,0.853458,0.0581428,0.149488,76,0.00925086,0.313463,0.0358831,0.369677,53,4.75435,0.0460491
231,0.5896717373899119,0.855555,0.0185167,0.343386,36,0.00649898,0.830174,0.0306355,0.297342,34,3.31986,0.163155
232,0.6840138777688818,0.864894,0.0395535,0.143711,59,0.000222373,0.978671,0.0991024,0.281959,6,5.22396,0.0200957
233,0.7195089404857219,0.859863,0.0327162,0.0485258,11,0.00423226,0.920298,0.0351807,0.470661,47,4.58985,0.372921
234,0.10408326661329059,0.875081,0.0991613,0.410966,60,0.0038905,0.676331,0.0555901,0.368206,39,4.05877,0.242282
235,0.7329863891112891,0.832102,0.0199585,0.0941947,20,0.00197848,0.281952,0.0982386,0.335279,81,6.8732,0.397805
236,0.7163063784360821,0.809279,0.0159431,0.443322,62,0.00970405,0.0654275,0.0400145,0.286489,66,11.1149,0.258433
237,0.5723245262876968,0.802746,0.0217915,0.17595,28,0.00210575,0.549301,0.0398733,0.0459614,3,7.62155,0.0213851
238,0.6941553242594075,0.861776,0.0288348,0.432575,22,0.00255431,0.424844,0.0473965,0.126595,26,8.37777,0.254793
239,0.5581798772351214,0.836989,0.0693568,0.290584,81,0.00132027,0.0257153,0.0276794,0.391918,23,11.0549,0.232535
240,0.5294902588737657,0.809314,0.0697791,0.215559,13,0.00428788,0.505792,0.0776229,0.255269,36,11.6148,0.240826
241,0.6124899919935949,0.83813,0.0177514,0.18443,17,0.00888495,0.189095,0.0620476,0.275372,13,9.85714,0.172321
242,0.10408326661329059,0.867089,0.0952432,0.0986512,78,0.00479219,0.256594,0.0677447,0.468811,67,13.787,0.0946441
243,0.692420603149186,0.828138,0.0539449,0.181507,85,0.0024542,0.643578,0.0642526,0.124646,97,5.6503,0.0384616
244,0.5217507339204697,0.804912,0.0812075,0.334936,21,0.00933994,0.290598,0.0317548,0.0338482,98,7.12397,0.0691581
245,0.2930344275420337,0.863153,0.0844054,0.429789,54,0.00325282,0.724965,0.0725548,0.450234,99,14.9223,0.256588
246,0.29290098745663196,0.845201,0.088278,0.19068,67,0.00498491,0.244491,0.036812,0.249565,88,12.9913,0.165707
247,0.39404857219108624,0.828208,0.082223,0.0505218,63,0.00835772,0.755663,0.0997999,0.184918,16,3.52452,0.200681
248,0.6673338670936749,0.803541,0.0394146,0.0669412,90,0.00133017,0.0384431,0.0423329,0.239018,5,8.44257,0.183386
249,0.2938350680544436,0.87201,0.0626736,0.168868,52,0.00862211,0.420994,0.080191,0.340329,27,5.97347,0.136296
250,0.6465172137710169,0.862916,0.0369602,0.095584,3,0.000784903,0.204478,0.0290317,0.0679533,29,7.63317,0.0311683
251,0.39698425406992266,0.872777,0.0814953,0.377705,10,0.00939873,0.554431,0.09655,0.230602,76,10.4663,0.0601654
252,0.6011475847344543,0.822529,0.0335535,0.310863,16,0.00489533,0.60204,0.0391535,0.298517,89,3.9695,0.0589184
253,0.7112356551908193,0.86743,0.0193834,0.486842,70,0.00447569,0.161889,0.0993135,0.410871,44,3.47513,0.358188
254,0.5956765412329864,0.85341,0.0214354,0.204323,71,0.00977323,0.532571,0.0443761,0.138762,62,6.5205,0.128623
255,0.6176941553242594,0.855176,0.0191892,0.0402687,84,0.00552376,0.954291,0.051097,0.243656,70,12.2948,0.256437
256,0.459033893781692,0.819068,0.0685093,0.466321,76,0.0081091,0.717231,0.016487,0.280752,42,14.4926,0.215618
257,0.6810781958900454,0.830443,0.0408005,0.367384,41,0.00370308,0.0827914,0.0772167,0.156952,44,7.38828,0.125908
258,0.7207099012543368,0.828901,0.0468856,0.361777,60,0.00556928,0.729158,0.0793749,0.133281,20,6.58324,0.221771
259,0.5731251668001067,0.854378,0.0128825,0.235034,9,0.00597797,0.604602,0.0680132,0.0130968,16,4.6413,0.307567
260,0.6738724312783559,0.847328,0.013559,0.344392,58,0.000710211,0.680794,0.0740024,0.140294,98,14.0167,0.353051
261,0.7232452628769682,0.860036,0.0347803,0.411392,5,0.00509866,0.0206588,0.0537274,0.0748808,67,8.56747,0.395809
262,0.6399786495863358,0.822083,0.0656412,0.250248,52,0.00763992,0.0481381,0.0148986,0.0873748,61,10.38,0.0325449
263,0.6092874299439552,0.872276,0.024924,0.0450071,33,0.00754355,0.665921,0.0736009,0.168038,21,11.6318,0.180136
264,0.6051507872965038,0.842538,0.0171075,0.12914,56,0.00697527,0.0238776,0.0327817,0.359954,73,12.7209,0.0305944
265,0.5125433680277556,0.867008,0.065415,0.244411,30,0.00709799,0.312948,0.0840149,0.348469,77,12.1538,0.0866189
266,0.6673338670936749,0.802922,0.0203478,0.418866,89,0.00990187,0.910175,0.0356031,0.460125,37,4.68901,0.210092
267,0.6603949826527888,0.837305,0.0272337,0.421728,69,0.00675671,0.673422,0.0593119,0.406099,35,8.89955,0.175818
268,0.6082199092607419,0.833901,0.0210672,0.145521,26,0.00259122,0.513741,0.0531681,0.0190759,58,7.67734,0.236984
269,0.39338137176407795,0.86664,0.0701548,0.361171,99,0.00640199,0.655032,0.0998406,0.17186,74,13.8277,0.122606
270,0.3916466506538564,0.82916,0.0864383,0.158064,12,0.00868727,0.523933,0.0561042,0.312111,39,3.13876,0.0571395
271,0.6382439284761142,0.871082,0.0285398,0.0417751,23,0.00664754,0.13421,0.0814766,0.199042,19,10.145,0.2769
272,0.6350413664264745,0.807449,0.0266034,0.404178,76,0.00998557,0.21563,0.066663,0.00865095,56,14.8063,0.211805
273,0.39751801441152923,0.864269,0.0824274,0.202015,40,0.0031551,0.410588,0.078246,0.237301,66,10.4086,0.206284
274,0.7304510274886575,0.811135,0.0584381,0.225577,12,0.00963095,0.884798,0.0910396,0.237742,99,4.2734,0.149726
275,0.4568988524152655,0.868236,0.0630674,0.140091,48,0.00940835,0.91513,0.0724314,0.331412,18,12.8195,0.266159
276,0.6394448892447291,0.849443,0.0326752,0.0660089,83,0.00705182,0.941428,0.0326431,0.0629352,22,9.56718,0.295542
277,0.6170269548972511,0.847594,0.0603966,0.14247,33,0.00966017,0.692474,0.0644192,0.193407,35,8.70295,0.0354402
278,0.2951694689084601,0.805226,0.0881072,0.354255,73,0.00797466,0.703308,0.0579837,0.399269,66,4.94713,0.195807
279,0.644915932746197,0.814879,0.0835381,0.433835,14,0.000610781,0.0354538,0.0871577,0.307491,98,5.09003,0.189093
280,0.6980250867360556,0.813499,0.067666,0.442697,43,0.00515273,0.510102,0.060287,0.440448,71,11.2679,0.380028
281,0.6774753135842007,0.873394,0.051813,0.2137,43,0.000478994,0.396975,0.0765504,0.0374554,95,6.30256,0.0346165
282,0.6206298372030958,0.81027,0.0675333,0.327715,35,0.00547964,0.0165911,0.0843338,0.0481825,43,4.42476,0.316026
283,0.38630904723779025,0.855957,0.0854151,0.494333,38,0.00819839,0.100186,0.0217918,0.482887,47,11.7351,0.116511
284,0.6187616760074727,0.832694,0.0577403,0.400973,73,0.000793664,0.476695,0.0761292,0.43098,21,6.77021,0.160003
285,0.3903122497998399,0.879393,0.0759204,0.178823,20,0.00648713,0.784648,0.084639,0.176134,50,14.9608,0.378773
286,0.7814251401120896,0.827991,0.0442827,0.428055,94,0.0085403,0.117001,0.0926864,0.251816,78,14.5241,0.384078
287,0.7445956765412329,0.802279,0.0432857,0.167593,42,0.00714845,0.639727,0.0483262,0.0585956,6,9.65753,0.205262
288,0.5543101147584735,0.877406,0.0734312,0.112404,3,0.00748993,0.203279,0.0647846,0.3271,74,8.05395,0.225167
289,0.3837736856151588,0.82512,0.0939909,0.271679,60,0.000207988,0.394264,0.0749085,0.264089,6,13.8025,0.393463
290,0.289031224979984,0.819374,0.0907361,0.188198,77,0.00203102,0.718871,0.0412824,0.372606,46,9.94034,0.293999
291,0.6828129170002668,0.848879,0.0344446,0.31257,45,0.00433939,0.92469,0.0802094,0.146405,73,5.62105,0.0884912
292,0.6263677608753669,0.854722,0.0646381,0.12207,12,0.00865173,0.949172,0.0379085,0.118062,20,4.39662,0.219272
293,0.7205764611689351,0.813328,0.023643,0.310316,48,0.000591209,0.223458,0.0784673,0.136827,43,3.1927,0.148126
294,0.7379236722711502,0.815476,0.0615567,0.0602222,98,0.00638551,0.238237,0.0105379,0.0361486,43,5.42202,0.176503
295,0.27862289831865494,0.855383,0.0833034,0.154233,93,0.00481381,0.400158,0.0131569,0.358166,76,10.0983,0.365392
296,0.6355751267680811,0.843806,0.0136756,0.220302,7,0.00296414,0.403403,0.0649136,0.0958515,21,12.3285,0.209612
297,0.633306645316253,0.835933,0.0206525,0.342744,89,0.00395532,0.224055,0.0281185,0.188177,29,9.72972,0.287951
298,0.5934080597811582,0.870664,0.01206,0.248422,45,0.000897961,0.662782,0.0171538,0.143662,45,7.16469,0.391083
299,0.744995996797438,0.822645,0.0519696,0.11633,65,0.00280783,0.931333,0.0550244,0.0256542,63,10.7174,0.0105115
300,0.7008273285294903,0.806774,0.06276,0.100809,41,0.000956277,0.670597,0.0714303,0.0341253,13,10.3271,0.361318
301,0.3985855350947425,0.842297,0.0837604,0.325177,31,0.00221162,0.707857,0.0810329,0.317744,38,11.8729,0.193216
302,0.6637309847878303,0.842833,0.0554678,0.341196,12,0.00530305,0.545499,0.0869953,0.355473,30,5.87138,0.0960563
303,0.29423538831064855,0.804215,0.0803615,0.0357345,68,0.00485266,0.687494,0.0213726,0.06543,57,5.47041,0.0799048
304,0.6896183613557513,0.836945,0.0331071,0.116835,57,0.00879159,0.283866,0.0978628,0.275518,73,12.6605,0.308246
305,0.7147050974112623,0.858624,0.0452433,0.322969,35,0.000570547,0.337098,0.0479993,0.426967,23,12.9735,0.117959
306,0.5735254870563118,0.839303,0.030609,0.330728,38,0.00232395,0.619235,0.0216793,0.0516307,39,9.43296,0.0257384
307,0.43674939951961567,0.801421,0.0771744,0.199661,73,0.0062739,0.822803,0.0934033,0.221225,39,6.80055,0.171308
308,0.6765412329863891,0.809907,0.0163789,0.449057,75,0.00536633,0.122093,0.0387595,0.498771,5,8.28721,0.239801
309,0.7431278356018147,0.80327,0.0560602,0.397481,88,0.0089343,0.751986,0.0369398,0.0283378,20,9.02962,0.319063
310,0.10408326661329059,0.841467,0.0975956,0.265237,90,0.00762134,0.401572,0.0313101,0.0932976,80,8.21087,0.0144178
311,0.766613290632506,0.802401,0.0526493,0.171305,52,0.00267245,0.111011,0.072825,0.197158,14,7.22414,0.242936
312,0.38564184681078195,0.805108,0.0923687,0.00254565,87,0.0042035,0.698083,0.0806996,0.491851,17,3.63947,0.325584
313,0.7682145716573259,0.813898,0.0533044,0.291486,43,0.00846645,0.379966,0.0495158,0.0732923,97,9.31884,0.343232
314,0.7212436615959434,0.811245,0.031855,0.0467031,79,0.00257046,0.5955,0.0957902,0.0269557,72,5.51921,0.341488
315,0.7983720309580998,0.833613,0.05827,0.00383463,15,0.00524113,0.206094,0.0937237,0.432323,33,9.25706,0.299617
316,0.7048305310915399,0.8741,0.0356457,0.380391,83,0.00914501,0.504569,0.0898255,0.3649,85,11.6495,0.325949
317,0.6131571924206032,0.849784,0.0719346,0.113656,37,0.00677744,0.606385,0.0172701,0.323636,26,3.30569,0.328563
318,0.2933013077128369,0.872821,0.0761332,0.318423,97,0.00047476,0.66744,0.0159356,0.393996,14,12.5852,0.133329
319,0.6684013877768882,0.842973,0.0201208,0.0292575,52,0.00700116,0.322227,0.0925418,0.400544,11,9.1472,0.354212
320,0.6737389911929543,0.852507,0.0240597,0.354518,76,0.00171268,0.0132613,0.0525731,0.230504,35,14.6021,0.245748
321,0.6994929276754738,0.834133,0.0427259,0.0265745,31,0.000144463,0.791249,0.0562994,0.00529641,84,3.09304,0.330786
322,0.46490525753936485,0.874391,0.0842686,0.138028,6,0.00392101,0.695544,0.012338,0.0622446,59,7.75355,0.0579616
323,0.6238323992527355,0.859779,0.0589144,0.133395,35,0.00829038,0.119138,0.0278824,0.380538,26,3.58301,0.230418
324,0.6844141980250867,0.871845,0.0265422,0.135785,24,0.00672526,0.861999,0.0909803,0.125132,49,11.4863,0.261935
325,0.7038964504937284,0.830994,0.0169847,0.139533,63,0.000618667,0.292185,0.0527029,0.136582,62,7.52078,0.363063
326,0.3903122497998399,0.829715,0.0872262,0.153624,64,0.00840257,0.0571433,0.0967557,0.435981,10,9.37001,0.223353
327,0.7703496130237524,0.858838,0.0566568,0.483375,20,0.00313076,0.637283,0.0675128,0.142668,67,13.4186,0.35958
328,0.4697091006138244,0.869158,0.0659516,0.498851,39,0.00174724,0.715604,0.0244301,0.424069,99,3.81215,0.268649
329,0.5345609821190286,0.85938,0.0642424,0.325466,15,0.00951693,0.951178,0.0751685,0.231707,98,10.8442,0.191317
330,0.6390445689885241,0.802059,0.016834,0.0557842,40,0.00847757,0.511488,0.0623582,0.00146009,16,13.9079,0.0699719
331,0.3350680544435548,0.830663,0.0959951,0.247043,69,0.00024497,0.367743,0.0854492,0.0696336,99,4.88676,0.152764
332,0.6251668001067521,0.825991,0.0594593,0.480679,48,0.00962259,0.706127,0.0451154,0.28875,44,13.6066,0.104338
333,0.6399786495863358,0.813038,0.0410108,0.35603,6,0.00181749,0.0468855,0.0319293,0.390005,75,14.8119,0.0411251
334,0.19855884707766214,0.879088,0.0794215,0.00602154,75,0.00406591,0.434621,0.0143219,0.329226,50,3.24091,0.173415
335,0.4268748331998933,0.879689,0.0138756,0.236906,95,0.00860164,0.563117,0.0205035,0.00971898,77,3.92999,0.144688
336,0.7855617827595409,0.808998,0.0493069,0.194565,90,0.00758782,0.721036,0.0687647,0.163208,62,13.1229,0.367903
337,0.6685348278622898,0.837174,0.0302979,0.134741,85,0.00508105,0.258621,0.0125968,0.0671381,53,11.3536,0.28966
338,0.6463837736856152,0.820051,0.022687,0.148583,57,0.00870913,0.375539,0.0831707,0.015549,38,14.2196,0.226615
339,0.6614625033360022,0.806509,0.0253464,0.120646,67,0.00135968,0.463685,0.0382509,0.147984,61,11.5057,0.0755048
340,0.46570589805177476,0.824856,0.0731939,0.272464,75,0.00588095,0.631989,0.0901752,0.121171,54,5.36385,0.274052
341,0.5058713637576728,0.838457,0.0670504,0.0632104,66,0.00218982,0.627139,0.0702269,0.128051,78,3.15751,0.363805
342,0.7184414198025086,0.860799,0.0482405,0.0387794,25,0.00207433,0.0359747,0.0891213,0.0533662,27,14.8452,0.231544
343,0.2923672271150254,0.870367,0.0955613,0.00967703,28,0.00721118,0.535223,0.0346084,0.464463,77,3.26573,0.185078
344,0.3873765679210035,0.831095,0.086218,0.305335,44,0.00674434,0.0993242,0.0180268,0.327763,30,12.6435,0.0450184
345,0.6981585268214572,0.815229,0.0551253,0.011323,50,0.0021494,0.630012,0.0157151,0.394627,57,12.0048,0.269713
346,0.7288497464638377,0.807524,0.0375598,0.320857,41,0.00129458,0.351064,0.0288954,0.153245,33,9.78277,0.201509
347,0.6365092073658927,0.800267,0.0124444,0.233841,10,0.00790481,0.318042,0.0915678,0.3095,5,6.9698,0.138275
348,0.7034961302375233,0.810184,0.0372967,0.16657,29,0.00983006,0.518231,0.0532112,0.401718,18,7.27751,0.151243
349,0.30557779556978915,0.864688,0.0729957,0.358395,94,0.00701624,0.735912,0.0461372,0.044602,69,7.78732,0.0561419
350,0.374032559380838,0.834266,0.0943145,0.232726,98,0.000974619,0.919268,0.0491947,0.185914,94,5.13473,0.339307
351,0.10408326661329059,0.831792,0.097111,0.0744183,80,0.00593454,0.0265589,0.069046,0.466152,2,6.55932,0.0768168
352,0.689751801441153,0.861434,0.0363594,0.171769,27,0.00732752,0.863705,0.0671771,0.182505,9,8.11034,0.0844319
353,0.584601014144649,0.852114,0.0205822,0.406465,88,0.00789557,0.132926,0.0923413,0.389174,2,14.4651,0.112028
354,0.38150520416333067,0.809758,0.0984992,0.173145,83,0.000361599,0.357496,0.0137153,0.141172,69,13.4401,0.36452
355,0.6563917800907393,0.817212,0.0572814,0.217977,86,0.00463081,0.443273,0.0825345,0.111692,27,8.6299,0.360495
356,0.6949559647718175,0.849055,0.0529608,0.23806,78,0.00769334,0.749557,0.073771,0.119585,87,6.99043,0.266807
357,0.4835868694955965,0.854516,0.0132069,0.440514,24,0.00954702,0.876926,0.0616341,0.26671,96,10.6862,0.0293947
358,0.29210034694422204,0.829325,0.077426,0.29876,54,0.00612766,0.767851,0.0201158,0.408559,97,12.7497,0.0907908
359,0.396050173472111,0.877136,0.0866855,0.252463,89,0.000847876,0.0911616,0.0780777,0.352995,87,11.1447,0.0840325
360,0.685882038964505,0.836165,0.0644046,0.408247,16,0.00915838,0.086871,0.0355217,0.170396,12,12.2847,0.0679423
361,0.6406458500133441,0.85786,0.0183668,0.369141,59,0.00579166,0.128559,0.0445851,0.200694,73,11.8848,0.318445
362,0.6650653856418468,0.859297,0.0530695,0.151463,32,0.00546062,0.904054,0.0601983,0.130741,19,6.73151,0.265779
363,0.6920202828929811,0.816876,0.0399191,0.00167872,42,0.00365639,0.264292,0.040976,0.342251,12,8.97619,0.332713
364,0.6419802508673605,0.840135,0.013261,0.390141,23,0.00111291,0.12141,0.0159869,0.0414872,80,5.6089,0.115366
365,0.6313050440352281,0.800019,0.0162892,0.439083,70,0.000859434,0.783664,0.0145572,0.442583,35,10.854,0.342888
366,0.6832132372564719,0.838034,0.0666396,0.485481,9,0.00775239,0.408596,0.080519,0.449563,76,4.91031,0.174622
367,0.6011475847344543,0.874442,0.0311429,0.262913,51,0.00570785,0.821685,0.0396902,0.214011,54,13.5484,0.0524021
368,0.6386442487323192,0.850261,0.0465542,0.431898,86,0.00537731,0.936691,0.0814133,0.150179,47,13.6754,0.112544
369,0.8266613290632506,0.816106,0.0478766,0.144502,88,0.00174103,0.373303,0.0906607,0.273139,44,4.5771,0.274951
370,0.6733386709367494,0.845003,0.036627,0.417257,97,0.00458328,0.947982,0.0507068,0.092301,17,3.85713,0.0832837
371,0.20509741126234315,0.870987,0.0899329,0.0734494,92,0.00348226,0.650874,0.0484891,0.129806,40,13.9509,0.053877
372,0.4412863624232719,0.8767,0.0778261,0.0727074,37,0.00463646,0.164399,0.0271531,0.00758659,81,14.7401,0.263094
373,0.6980250867360556,0.856822,0.038095,0.473324,18,0.00560692,0.591479,0.0435419,0.418022,57,13.762,0.156247
374,0.28516146250333596,0.8576,0.0746635,0.295621,65,0.00541957,0.741059,0.0467356,0.261779,6,4.47033,0.327379
375,0.6752068321323725,0.862209,0.0340933,0.333962,56,0.00484565,0.868919,0.0346743,0.137927,87,4.16953,0.169915
376,0.7148385374966639,0.804057,0.0456874,0.0470058,17,0.00646358,0.468153,0.0956257,0.105099,64,10.4344,0.331473
377,0.8047771550573792,0.814202,0.0502987,0.0226639,29,0.00353915,0.958306,0.0968482,0.0899369,49,7.01174,0.366155
378,0.4902588737656792,0.864007,0.0768425,0.315215,91,0.000739299,0.97014,0.0418009,0.160977,74,6.01131,0.27758
379,0.3755004003202562,0.84433,0.0857092,0.0780915,21,0.00993388,0.714018,0.0462332,0.109256,60,3.10529,0.284073
380,0.6394448892447291,0.831934,0.0383153,0.051865,43,0.00186062,0.270922,0.0568202,0.250847,28,11.7117,0.0238298
381,0.5360288230584467,0.818626,0.078314,0.319907,62,0.00372258,0.908099,0.0933112,0.321039,37,13.2898,0.31353
382,0.5427008273285294,0.824289,0.0104181,0.0174927,51,0.00943097,0.519965,0.0227201,0.150806,44,6.54689,0.162697
383,0.6318388043768348,0.819952,0.0592628,0.304047,85,0.00253434,0.880744,0.0407918,0.144214,46,9.82336,0.0640444
384,0.5269548972511342,0.872395,0.0921979,0.17989,2,0.00164885,0.538206,0.0127339,0.305562,4,7.44657,0.325039
385,0.5290899386175607,0.871642,0.0149437,0.48741,60,0.00787022,0.93532,0.0798705,0.174546,93,11.001,0.250431
386,0.6382439284761142,0.85919,0.0187536,0.473017,67,0.00467632,0.543675,0.0342467,0.377177,96,8.91922,0.186931
387,0.6732052308513478,0.846151,0.0533974,0.241264,87,0.00318015,0.913253,0.0510035,0.0113752,21,9.92609,0.399911
388,0.3804376834801174,0.851871,0.0941672,0.164543,96,0.00980024,0.351514,0.0431657,0.457464,51,14.5038,0.291497
389,0.6156925540432345,0.824424,0.0499729,0.109543,47,0.00361029,0.00841769,0.0677919,0.308805,40,10.4611,0.0334775
390,0.6192954363490792,0.856006,0.0608322,0.493054,31,0.00494617,0.485289,0.0421327,0.157919,85,14.6635,0.387354
391,0.6662663464104617,0.820388,0.0212624,0.345583,76,0.00320637,0.20823,0.028513,0.0289614,9,3.33708,0.134248
392,0.5456365092073658,0.856564,0.0106392,0.111721,71,0.00671152,0.126953,0.0385898,0.307329,9,14.1532,0.149388
393,0.39685081398452093,0.876366,0.0808817,0.150318,5,0.00835473,0.762836,0.0812517,0.350438,48,9.69263,0.262466
394,0.6413130504403524,0.828992,0.0146353,0.284797,40,0.00614459,0.175074,0.0857165,0.47273,2,14.6192,0.226894
395,0.6140912730184147,0.850146,0.0587324,0.279042,58,0.00357339,0.176268,0.0222263,0.282681,59,7.05826,0.0295224
396,0.7690152121697358,0.818534,0.067417,0.41947,16,0.00227981,0.660124,0.068922,0.462085,41,13.5148,0.394339
397,0.5757939685081399,0.879674,0.0405797,0.235781,30,0.00140127,0.683911,0.0115668,0.102279,84,3.69868,0.169206
398,0.43381371764077925,0.817598,0.0818248,0.192324,41,0.00126446,0.87207,0.0148551,0.490799,92,13.1297,0.361917
399,0.592340539097945,0.856471,0.0140298,0.0908663,15,0.00192522,0.196535,0.0705371,0.253898,48,12.1238,0.0919127
400,0.7584734454230051,0.869908,0.0556781,0.465525,29,0.00818367,0.649488,0.0341167,0.0849372,83,12.4225,0.340203
401,0.5234854550306912,0.865609,0.0694659,0.132143,27,0.00823918,0.0433967,0.0108369,0.0910691,87,8.66014,0.154523
402,0.784360821990926,0.80862,0.0237211,0.35158,2,0.0033769,0.212043,0.0944458,0.365965,7,14.2051,0.22067
403,0.7499332799572992,0.829861,0.056593,0.00537015,81,0.00667647,0.0032593,0.0504274,0.268107,31,7.94505,0.259731
404,0.5531091539898585,0.832533,0.079778,0.211351,91,0.00631794,0.157515,0.0551812,0.374498,10,8.82047,0.376201
405,0.7432612756872164,0.85042,0.0233975,0.491872,66,0.00891844,0.428436,0.0938976,0.221764,54,13.7187,0.396528
406,0.6886842807579396,0.869501,0.0385267,0.415388,74,0.00823162,0.473281,0.0626483,0.404856,48,14.6732,0.24415
407,0.7277822257806246,0.85958,0.0470397,0.439489,15,0.00321118,0.599638,0.0567012,0.379338,67,9.30811,0.109735
408,0.6168935148118495,0.819306,0.0762682,0.196105,15,0.00895493,0.412316,0.0920465,0.0842064,97,8.17937,0.2497
409,0.45503069121964235,0.872508,0.0800017,0.104396,9,0.00118746,0.92373,0.0886137,0.0712117,58,11.1808,0.212469
410,0.4689084601014145,0.860282,0.072768,0.248797,49,0.00817488,0.894943,0.0833139,0.322222,11,6.03991,0.336994
411,0.5553776354416866,0.879031,0.0595603,0.478673,21,0.00897896,0.161525,0.0634365,0.179406,48,13.0798,0.384511
412,0.6148919135308246,0.806968,0.0275319,0.369759,100,0.00448478,0.414798,0.0580964,0.123067,58,3.39847,0.0424953
413,0.7574059247397918,0.826337,0.0610365,0.108539,28,0.00373531,0.378458,0.0117614,0.215754,91,10.1173,0.125174
414,0.6940218841740059,0.836567,0.0523386,0.0609517,8,0.00281326,0.0538984,0.0922088,0.249155,64,14.28,0.158815
415,0.7259140645850013,0.867237,0.0546667,0.229074,32,0.00119985,0.28877,0.0904704,0.0262043,94,6.21506,0.214912
416,0.7460635174806511,0.862864,0.0546224,0.189883,19,0.00852946,0.685218,0.0974216,0.294029,36,4.72281,0.254074
417,0.6822791566586602,0.852325,0.0371023,0.137337,21,0.00959866,0.382747,0.094407,0.488812,71,8.58178,0.159111
418,0.3908460101414465,0.825169,0.0852286,0.255732,5,0.00911712,0.882243,0.0241422,0.234099,41,9.60101,0.0276736
419,0.7247131038163864,0.837816,0.0522188,0.297592,48,0.00565919,0.181906,0.0668366,0.147362,15,14.0481,0.298294
420,0.7305844675740593,0.8257,0.0487663,0.294015,95,0.00738501,0.211313,0.0640479,0.301496,80,6.34837,0.344556
421,0.6825460368294636,0.853264,0.041341,0.499976,11,0.00306054,0.361236,0.0359864,0.15892,96,8.67837,0.182191
422,0.46904190018681613,0.849125,0.0791117,0.260146,34,0.00187315,0.369465,0.0374491,0.0746781,65,4.02534,0.271472
423,0.6474512943688284,0.873857,0.0320575,0.488852,27,0.00158782,0.0932935,0.0110401,0.443983,10,9.08553,0.137488
424,0.37843608219909264,0.801522,0.0826254,0.475443,32,0.00903191,0.0740517,0.0191848,0.0986106,93,3.87891,0.309701
425,0.7056311716039498,0.820295,0.0573787,0.429129,55,0.00292889,0.247269,0.0931356,0.10176,3,11.683,0.392311
426,0.3973845743261276,0.807177,0.0988664,0.49758,64,0.00199836,0.451569,0.0362586,0.336126,89,9.55019,0.0761665
427,0.6961569255404323,0.871397,0.0323317,0.0901736,97,0.00809721,0.815236,0.0212109,0.224761,72,3.72172,0.0789733
428,0.4220709901254337,0.863891,0.0126793,0.370385,93,0.00385644,0.983212,0.0196986,0.0721968,63,6.42858,0.120903
429,0.6543901788097144,0.847495,0.0179743,0.362608,72,0.000327525,0.33993,0.0746044,0.0837662,82,9.0212,0.0953799
430,0.6179610354950626,0.809447,0.0258218,0.387035,98,0.00795549,0.0761086,0.0763852,0.227072,91,13.2677,0.105614
431,0.6385108086469176,0.817828,0.0196255,0.424923,36,0.0034112,0.490346,0.0102702,0.175355,59,10.0353,0.21881
432,0.7447291166266347,0.807971,0.0528298,0.240223,77,0.000416748,0.692734,0.0198565,0.495968,69,8.25758,0.0279915
