max_value,0.9435130644917686,0.9876229230247542,0.9957569585879158,0.9989675643121397,1.0,0.9978597722797705,0.9987044865675713,0.9974672857745884,1.0,0.9966224774128177,0.9955409725727747,0.9828467469462011,0.9993639014047178,0.9988604421484464,1.0,0.9995665888131757,0.9556371424200704,0.8531733981172184,0.8106755629691409,0.7992836296099761,0.7179525667967577,0.595890410958904
clusters_found,10,10,10,10,10,10,10,10,10,14,43,10,10,15,16,10,10,9,10,10,10,9
index_set,72,469,198,85,148,29,18,49,85,158,148,274,85,283,283,274,85,171,218,499,469,225
mean_value,0.48280521009020555,0.5364438392587484,0.5903131541411192,0.6535095384561166,0.7019634288012668,0.7260049408640352,0.7396857951848684,0.6576330108764665,0.47296982523105735,0.32699871916608636,0.16795663847751954,0.6771790861327078,0.6908538505458355,0.6852090609519528,0.6681303129781038,0.6463142505071621,0.4799268982939561,0.45586471408538104,0.4025515899966334,0.35074259314892764,0.2993492507470315,0.2620957243420567

experiment,D05_CE,D10_CE,D15_CE,D20_CE,D25_CE,D50_CE,D75_CE,N10_CE,N30_CE,N50_CE,N70_CE,S1500_CE,S2500_CE,S3500_CE,S4500_CE,S5500_CE,i05_CE,i06_CE,i07_CE,i08_CE,i09_CE,i10_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs,push_rate,supervision_rate
0,0.2247647167374054,0.1613490303133709,0.20999069412298077,0.268064936603863,0.27951560096248673,0.3268169403551717,0.5287938312876699,0.21270637063155384,0.0801894370673577,0.043894135523456,0.018221984235129773,0.2565697227373468,0.3325990577825495,0.35987906101143785,0.24670708455310042,0.2600843990593693,0.20209059233449478,0.1725452285595912,0.1292919676304406,0.13105502758721965,0.09794738000188608,0.09700566834675839,0.903279,0.00533364,0.4502,91,0.000296009,0.0470297,0.0439789,0.351951,44,13.6714,0.222402
1,0.45638515488018705,0.6051633681367201,0.5451926650972618,0.740946364187486,0.7795981125072902,0.7874611538981219,0.7547211940606133,0.6441675980699506,0.6273925196326368,0.44204892676168606,0.24657288973937175,0.7611029115792298,0.7528552032585256,0.7707368544463333,0.7746425668791996,0.7925958454253856,0.43934172585976505,0.4239565659993213,0.3376031263569258,0.28961045389298623,0.3098780048386267,0.3136214303765479,0.939754,0.0156211,0.0721753,94,0.00630525,0.0357766,0.0476998,0.0531324,6,10.3495,0.366861
2,0.5193805470023547,0.7527298572074692,0.8193752618593175,0.8971565445835266,0.9312812717714865,0.9491083787965149,0.8523626629422719,0.8607124644860493,0.8073338426279603,0.869282123135251,0.7002806032970887,0.8210261814055281,0.9251189950439178,0.8337349397590361,0.9426119901938934,0.8698376113148245,0.5211974545128619,0.5733673469387754,0.4589880578252671,0.3906272122327623,0.3385985439417577,0.37928221859706357,0.955414,0.0292435,0.12814,8,0.00474105,0.0653575,0.0103495,0.403376,52,11.629,0.0686444
3,0.35224328378562664,0.346840743933982,0.43345137735435146,0.49141650324332475,0.5581228205605984,0.6970326489036616,0.6710855401969966,0.4624024467411938,0.04779068644804174,0.054644522449834976,0.033449290875033455,0.6133999865798833,0.6172476801261151,0.6105964467005076,0.5267648917852705,0.46583295748083153,0.32773184759166063,0.34294126762746013,0.3418816622895102,0.3027281539952915,0.29339762611275966,0.3033970453217595,0.912893,0.077172,0.296773,25,0.00471629,0.0507633,0.0174095,0.161634,66,11.4757,0.299496
4,0.33984419750257766,0.38260677953652356,0.4910993303571428,0.566334991708126,0.6826313200610972,0.7249514293644186,0.7411353514854275,0.5153132080988232,0.3642881944444445,0.1974924198967467,0.030959109042553168,0.618602662758031,0.602434222301772,0.6544549527127924,0.6081345818580493,0.542994297075289,0.35805773274708463,0.35496335019035175,0.3615364817912753,0.3562189054726368,0.34062838569880827,0.3496583913955219,0.9121,0.0399779,0.471559,82,0.00671209,0.0624946,0.0183376,0.40807,76,4.39833,0.353615
5,0.5355056870581002,0.5207562679819153,0.5270903010033445,0.6363792954956506,0.44719124047878134,0.5067776252573781,0.4686511458546687,0.33457469318662714,0.02860508160861519,0.01715583214195615,7.583737097114351E-4,0.4138386954605553,0.5343446666313054,9.506064869391206E-5,0.4273554793710841,0.43863368101558553,0.3834729025122452,0.36458333333333337,0.3014821822768843,0.19440447641886494,0.297542651432149,0.001917239175587171,0.97758,0.094549,0.316699,38,0.00974966,0.0163104,0.0358089,0.281652,58,11.2139,0.27023
6,0.40669196274577446,0.44228050887388093,0.5511811023622047,0.6592483022927452,0.6311961658343668,0.6315609505898444,0.725507450428253,0.6212319790301442,0.06903772756442728,0.054067218704335174,0.036481658531676175,0.707620263942103,0.7198056665455866,0.7024087591240875,0.5867058751455002,0.6405535308720224,0.4067972052100406,0.406832298136646,0.406832298136646,0.3835256590674547,0.29890350877192984,0.35846833578792336,0.927861,0.0828545,0.284274,21,0.000913764,0.0670658,0.0205349,0.430679,22,5.077,0.357125
7,0.5751856435643564,0.6542611946639476,0.8311836734693878,0.6095180774687246,0.89184804650534,0.7913520933424846,0.6735395189003437,0.987628521273928,0.8179934891979875,0.002327746741154546,0.0,0.8071172510273673,0.6968902407048089,0.6251140857925159,0.8884057119351237,0.730349529063185,0.6262769580022701,0.7312820512820513,0.511280487804878,0.4113400511355091,0.5586703431372548,0.39368088467614537,0.980732,0.0565416,0.492402,97,0.00478547,0.0796761,0.0403227,0.167817,69,8.7308,0.352897
8,0.3324230717996537,0.31294597349643216,0.38957275541795666,0.4725319903386608,0.5961099690514379,0.650062722877641,0.7176636491834599,0.37409365798055916,0.2880300814706497,0.17570747414700605,0.028926815157651165,0.4805256416338536,0.4920472486989065,0.49495603387818954,0.47911516764910944,0.45853143814784925,0.3328664799253035,0.33268897480335957,0.35300062189054726,0.320443158563263,0.27004310344827587,0.3034210877990111,0.904616,0.0464669,0.421349,71,0.00188337,0.0203208,0.0139592,0.387625,65,14.5078,0.0223436
9,0.3456782528452784,0.3292076410082514,0.43236139428627574,0.48256812589944753,0.6392626567832533,0.695631415612318,0.7505188095136428,0.3989936512224773,0.3181886565367835,0.1891909490476965,0.029525234233524933,0.5417301778312609,0.5467173181765457,0.594371406135218,0.5478006055013195,0.4841392018286568,0.344322568784852,0.3464668886422494,0.35658112582781454,0.3325822442541685,0.28984394985929907,0.3206774407792783,0.907072,0.049161,0.16994,69,0.0059682,0.00894846,0.0268243,0.485209,96,11.97,0.289982
