max_value,0.7626262626262627,0.7291666666666667,0.5514018691588785,0.5797101449275363,0.803309314117961,0.7875,0.3303030303030303
clusters_found,1,2,5,1,11,9,14
index_set,4,468,204,5,275,17,484
mean_value,0.511010101010101,0.4142395833333334,0.4144485981308412,0.44610434782608693,0.3804141980250867,0.34783749999999997,0.15755353535353536

experiment,breast_CE,diabetes_CE,glass_CE,liver_CE,pendigits_CE,shape_CE,vowel_CE,a_t,lp,dsbeta,age_wins,e_b,e_n,epsilon_ds,minwd,epochs,push_rate,supervision_rate
28,0.7626262626262627,0.35286458333333337,0.4672897196261683,0.5159420289855072,0.714037896984254,0.125,0.09090909090909094,0.795323,0.0235504,0.478591,10,0.00658173,0.910403,0.0465573,0.131761,69,0.00986921,0.298751
29,0.33838383838383834,0.35546875,0.4299065420560748,0.4405797101449276,0.10328262610088068,0.36250000000000004,0.16666666666666663,0.944948,0.0868328,0.387428,73,0.00848124,0.410241,0.0742965,0.474112,79,0.00733874,0.016159
30,0.1767676767676768,0.19270833333333337,0.383177570093458,0.3971014492753623,0.35735254870563116,0.63125,0.1717171717171717,0.961899,0.0481586,0.15013,24,0.00947106,0.618924,0.0645925,0.0539451,90,0.00142779,0.123576
31,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.725538,0.079567,0.348467,46,0.00515442,0.76265,0.0881642,0.0719785,28,0.00757092,0.10994
32,0.7626262626262627,0.38151041666666663,0.4299065420560748,0.4608695652173913,0.3789698425406992,0.125,0.20707070707070707,0.83279,0.0812809,0.340288,9,0.00787155,0.195307,0.0506818,0.28755,78,0.00298225,0.291858
33,0.3434343434343434,0.38802083333333337,0.4392523364485982,0.4782608695652174,0.10408326661329059,0.45625000000000004,0.16767676767676765,0.890016,0.0971316,0.0783087,94,0.00104998,0.814966,0.0679534,0.242579,45,0.00745931,0.0205166
34,0.3232323232323232,0.29557291666666663,0.4579439252336449,0.5072463768115942,0.1905524419535628,0.5625,0.12929292929292935,0.912433,0.0938115,0.140963,26,0.00446669,0.57639,0.0664825,0.144905,65,0.00711013,0.337839
35,0.23737373737373735,0.390625,0.4719626168224299,0.4521739130434783,0.5302908993861757,0.71875,0.31919191919191914,0.884914,0.0579857,0.208866,52,0.00990531,0.199102,0.0718334,0.0506547,15,0.00295695,0.118193
36,0.2525252525252525,0.23567708333333337,0.4439252336448598,0.408695652173913,0.6676007472644783,0.74375,0.2676767676767676,0.908877,0.0283373,0.472882,48,0.00652751,0.444492,0.0558167,0.456637,10,0.00524069,0.23961
37,0.7626262626262627,0.5221354166666667,0.3551401869158879,0.47536231884057967,0.737656792100347,0.125,0.09090909090909094,0.772166,0.0185126,0.357272,2,0.00278396,0.407964,0.0876687,0.271198,32,0.00837705,0.332975
38,0.23232323232323238,0.27994791666666663,0.4252336448598131,0.32463768115942027,0.19375500400320256,0.51875,0.0757575757575758,0.974315,0.0670948,0.139012,15,0.00344592,0.454702,0.0605818,0.0409399,48,0.00255698,0.147676
39,0.7626262626262627,0.6510416666666667,0.44859813084112155,0.5072463768115942,0.10408326661329059,0.125,0.09090909090909094,0.733976,0.0542321,0.439998,35,0.00870263,0.294385,0.0716047,0.0809151,25,0.00147122,0.355261
40,0.0,0.02083333333333337,0.21962616822429903,0.12463768115942031,0.0,0.30625,0.0,0.9965,0.0721984,0.00162177,47,0.00717468,0.0362662,0.0912014,0.223845,77,0.00886533,0.29985
41,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.70202,0.0181273,0.185676,96,0.00685608,0.758963,0.0580064,0.497246,62,0.000883051,0.300471
42,0.7626262626262627,0.4609375,0.3551401869158879,0.5159420289855072,0.7243127835601815,0.125,0.09090909090909094,0.792806,0.0449014,0.302299,20,0.00572894,0.0668523,0.0819998,0.18954,4,0.00294356,0.192689
43,0.18181818181818177,0.22526041666666663,0.4112149532710281,0.4347826086956522,0.4176674673071791,0.7,0.2080808080808081,0.969563,0.0432784,0.366046,36,0.00440347,0.587339,0.0155185,0.00144538,87,0.00175537,0.382538
44,0.7626262626262627,0.5221354166666667,0.47663551401869164,0.48405797101449277,0.7500667200427008,0.49375,0.31414141414141417,0.85111,0.0537732,0.0334271,4,0.00917436,0.0402314,0.0731829,0.373955,36,0.00331107,0.250958
45,0.4545454545454546,0.33333333333333337,0.46261682242990654,0.45797101449275357,0.2926341072858286,0.33125000000000004,0.2646464646464647,0.852446,0.0958842,0.328438,83,0.00422341,0.728848,0.0730705,0.15407,27,0.0028114,0.2561
46,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5130434782608695,0.10408326661329059,0.125,0.09090909090909094,0.723822,0.0200415,0.31065,76,0.00431253,0.468259,0.0184554,0.344087,29,0.00855,0.0951185
47,0.20707070707070707,0.23697916666666663,0.37850467289719625,0.46376811594202894,0.44795836669335465,0.65625,0.08989898989898992,0.96311,0.0478103,0.266619,45,0.00231559,0.613095,0.0244983,0.112037,77,0.00815441,0.35152
48,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.722407,0.0533575,0.453969,99,0.00335978,0.180349,0.0901155,0.440465,87,0.00669047,0.101355
49,0.7626262626262627,0.36848958333333337,0.43457943925233644,0.45797101449275357,0.6470509741126234,0.36250000000000004,0.23535353535353531,0.846495,0.0425654,0.397271,65,0.00464898,0.554187,0.0365528,0.209941,9,0.000170568,0.0500584
50,0.26262626262626265,0.28385416666666663,0.3457943925233645,0.2927536231884058,0.5046704029890579,0.70625,0.2464646464646465,0.918372,0.0268635,0.261433,59,0.00799408,0.474592,0.0156305,0.38242,12,0.00501633,0.187181
51,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.4347826086956522,0.10408326661329059,0.125,0.09090909090909094,0.747974,0.0874837,0.34376,32,0.00582801,0.14034,0.0220461,0.345277,2,0.00967972,0.224829
52,0.2222222222222222,0.30208333333333337,0.48130841121495327,0.43768115942028984,0.3681611956231652,0.6625,0.2777777777777778,0.924937,0.0507379,0.204092,41,0.00354916,0.880915,0.0584899,0.263275,63,0.00274106,0.0577888
53,0.2727272727272727,0.28385416666666663,0.4252336448598131,0.3014492753623188,0.6031491860154791,0.6625,0.25757575757575757,0.9052,0.0228292,0.0303772,28,0.00331553,0.599651,0.0919986,0.24866,68,0.00882752,0.256697
54,0.2828282828282829,0.31901041666666663,0.46261682242990654,0.3826086956521739,0.10154790499065924,0.5375,0.09090909090909094,0.95495,0.0810722,0.323083,54,0.00857509,0.601737,0.0888158,0.406929,82,0.0097647,0.0461007
55,0.7626262626262627,0.5143229166666667,0.43457943925233644,0.5072463768115942,0.5316253002401922,0.125,0.09090909090909094,0.785001,0.0855734,0.268781,58,0.00709967,0.976248,0.0651167,0.440066,19,0.00836581,0.260165
56,0.7626262626262627,0.47265625,0.4299065420560748,0.4869565217391304,0.7108353349346144,0.125,0.09090909090909094,0.77981,0.0468638,0.11139,85,0.00770308,0.288752,0.0100918,0.242229,29,0.00832642,0.193748
57,0.46464646464646464,0.33723958333333337,0.5093457943925234,0.4173913043478261,0.4587670136108887,0.4625,0.21919191919191916,0.847402,0.0732286,0.242899,79,0.0044544,0.946016,0.0526988,0.315474,72,0.00936284,0.294192
58,0.7626262626262627,0.50390625,0.3551401869158879,0.5159420289855072,0.7493995196156926,0.125,0.09090909090909094,0.790049,0.0363309,0.162899,9,0.000751305,0.22124,0.0570216,0.0366448,84,0.00234686,0.274167
59,0.48989898989898994,0.515625,0.4532710280373832,0.48115942028985503,0.6762743528155858,0.25,0.26969696969696966,0.855009,0.0553382,0.0937308,5,0.00451209,0.027919,0.0837301,0.341,88,0.00822404,0.02733
60,0.7626262626262627,0.6041666666666667,0.397196261682243,0.5130434782608695,0.7363223912463304,0.125,0.09090909090909094,0.797686,0.0610946,0.038994,12,0.00305872,0.394892,0.0290487,0.293792,53,0.00687942,0.30738
61,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.702703,0.0672918,0.00487439,64,0.00740184,0.746984,0.0186104,0.0135662,75,0.00309976,0.358279
62,0.38888888888888884,0.30338541666666663,0.485981308411215,0.527536231884058,0.6379770483053109,0.4125,0.3151515151515152,0.862453,0.0366073,0.391835,37,0.000877534,0.866877,0.0728736,0.379351,21,0.00597695,0.173025
63,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5101449275362319,0.10408326661329059,0.125,0.09090909090909094,0.732209,0.0439157,0.42877,56,0.00977032,0.517046,0.0621744,0.0977157,32,0.00900496,0.207508
64,0.3282828282828283,0.28125,0.4579439252336449,0.48985507246376814,0.1940218841740059,0.68125,0.30101010101010106,0.916905,0.0649331,0.319908,58,0.00122034,0.578259,0.0734071,0.4309,24,0.00940022,0.308233
65,0.7626262626262627,0.5872395833333333,0.4953271028037384,0.5159420289855072,0.6849479583666933,0.125,0.09090909090909094,0.782838,0.031108,0.491315,55,0.00353858,0.472653,0.0416225,0.482776,13,0.00329801,0.117513
66,0.7626262626262627,0.45963541666666663,0.514018691588785,0.5014492753623188,0.3823058446757406,0.125,0.09090909090909094,0.799379,0.083138,0.0233721,98,0.00972239,0.639147,0.036006,0.113126,39,0.00243426,0.284544
67,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.716466,0.0760826,0.295018,95,0.00122995,0.926576,0.0321577,0.390884,26,0.00496097,0.159009
68,0.4949494949494949,0.35026041666666663,0.40654205607476634,0.4492753623188406,0.5585801974913264,0.125,0.23535353535353531,0.830448,0.0335408,0.357392,91,0.00541371,0.787702,0.0306432,0.269006,97,0.000329137,0.0152926
69,0.7626262626262627,0.5169270833333333,0.4158878504672897,0.5101449275362319,0.8021083533493462,0.125,0.09090909090909094,0.778149,0.0525763,0.253289,18,0.0036019,0.992087,0.0771893,0.117801,77,0.00407387,0.385435
70,0.7626262626262627,0.27864583333333337,0.5,0.43768115942028984,0.5795302908993862,0.375,0.24343434343434345,0.844659,0.0337318,0.240402,35,0.00330349,0.269629,0.020797,0.0653295,41,0.00555506,0.118917
71,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.710921,0.0851142,0.231043,42,0.00282785,0.240813,0.0121164,0.441774,76,0.00933717,0.0422341
72,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.705722,0.0535564,0.388482,100,0.000977753,0.768037,0.0382066,0.0705484,41,0.00463479,0.293061
73,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5159420289855072,0.10408326661329059,0.125,0.09090909090909094,0.721594,0.0595044,0.483393,10,0.00781345,0.376071,0.067016,0.141108,96,0.000755643,0.261695
74,0.7626262626262627,0.43229166666666663,0.49065420560747663,0.45797101449275357,0.6868161195623166,0.125,0.09090909090909094,0.802684,0.032285,0.107661,5,0.00608206,0.711338,0.0670789,0.0630545,64,0.00164434,0.28533
75,0.7626262626262627,0.5325520833333333,0.4953271028037384,0.4666666666666667,0.47704830531091535,0.125,0.09090909090909094,0.806131,0.0872341,0.0715429,4,0.00841168,0.627737,0.0903725,0.427562,65,0.00129448,0.0259029
76,0.7626262626262627,0.58203125,0.3551401869158879,0.5159420289855072,0.7184414198025086,0.125,0.09090909090909094,0.772838,0.0559511,0.323837,29,0.00244198,0.974501,0.0420754,0.00523189,28,0.00916406,0.128346
77,0.7626262626262627,0.32942708333333337,0.46261682242990654,0.5072463768115942,0.7235121430477716,0.125,0.09090909090909094,0.80994,0.0343497,0.356224,45,0.00920386,0.217867,0.0672987,0.235862,82,0.00872845,0.331405
78,0.7626262626262627,0.4453125,0.3551401869158879,0.5014492753623188,0.7417934347477982,0.125,0.09090909090909094,0.773457,0.0388141,0.445415,79,0.00958579,0.143562,0.0961819,0.00883744,44,0.00516059,0.110929
79,0.505050505050505,0.35286458333333337,0.43457943925233644,0.4347826086956522,0.5528422738190553,0.125,0.19999999999999996,0.814569,0.0885662,0.281804,29,0.00466975,0.211403,0.033308,0.191307,17,0.0060706,0.180093
80,0.2828282828282829,0.24348958333333337,0.42056074766355145,0.4608695652173913,0.29076594609020545,0.68125,0.32020202020202015,0.920543,0.0568967,0.26186,96,0.00420858,0.647352,0.0841274,0.386987,95,0.00825254,0.334329
81,0.19191919191919193,0.20442708333333337,0.4299065420560748,0.3971014492753623,0.2887643448091807,0.675,0.26262626262626265,0.950729,0.0463624,0.222692,41,0.00773324,0.62433,0.0851316,0.379166,5,0.000906345,0.0309948
82,0.7626262626262627,0.44270833333333337,0.4719626168224299,0.4260869565217391,0.6094208700293569,0.125,0.21818181818181814,0.832195,0.0135155,0.137946,49,0.00909112,0.250955,0.0189675,0.465873,55,0.00579096,0.34508
83,0.5202020202020202,0.49088541666666663,0.4252336448598131,0.5159420289855072,0.48825727248465434,0.125,0.26363636363636367,0.853016,0.0864931,0.404244,11,0.000822441,0.539487,0.0455834,0.167417,61,0.00118162,0.341566
84,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.715521,0.0500887,0.120806,57,0.00974356,0.253366,0.07772,0.14653,1,0.00777363,0.0343007
85,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.718736,0.0232533,0.389256,89,0.00779872,0.714293,0.0264757,0.0755826,38,0.00562391,0.0638278
86,0.297979797979798,0.29166666666666663,0.46261682242990654,0.38550724637681155,0.20162796904190017,0.6625,0.23535353535353531,0.902358,0.0731178,0.190222,84,0.00384602,0.520636,0.088001,0.0486388,9,0.00168773,0.21147
87,0.2777777777777778,0.3125,0.4252336448598131,0.4782608695652174,0.10408326661329059,0.68125,0.23939393939393938,0.908632,0.075236,0.174209,43,0.00760671,0.420772,0.0348522,0.320681,33,0.00622254,0.242264
88,0.3737373737373737,0.35677083333333337,0.43457943925233644,0.4347826086956522,0.6722711502535361,0.76875,0.26161616161616164,0.899362,0.0349408,0.151072,69,0.000429625,0.0536775,0.0205011,0.209325,94,0.00505716,0.288109
89,0.2525252525252525,0.28385416666666663,0.4672897196261683,0.43768115942028984,0.10168134507606086,0.55,0.09090909090909094,0.954693,0.0881074,0.28865,15,0.00191215,0.0631407,0.0481694,0.256201,53,0.00929238,0.0959917
90,0.7626262626262627,0.5377604166666667,0.4392523364485982,0.5130434782608695,0.6838804376834802,0.125,0.09090909090909094,0.775447,0.0338991,0.207861,33,0.00251978,0.508837,0.0941365,0.173804,23,0.00460234,0.0684006
91,0.26262626262626265,0.33203125,0.4953271028037384,0.3014492753623188,0.2987723512143048,0.625,0.09090909090909094,0.958156,0.0727732,0.226692,8,0.00433979,0.918255,0.0649335,0.429107,50,0.00218993,0.202545
92,0.29292929292929293,0.45052083333333337,0.40654205607476634,0.4608695652173913,0.25753936482519346,0.54375,0.07777777777777772,0.973787,0.057718,0.490397,83,0.00763407,0.388485,0.0520775,0.418085,30,0.0028907,0.377689
93,0.23737373737373735,0.33203125,0.4299065420560748,0.4144927536231884,0.7514011208967174,0.75,0.3232323232323232,0.893731,0.048544,0.109667,14,0.00943039,0.187539,0.0690391,0.470504,31,0.00896504,0.392319
94,0.3535353535353535,0.5325520833333333,0.397196261682243,0.4956521739130435,0.2931678676274353,0.4625,0.19393939393939397,0.871162,0.0939631,0.161809,67,0.00418311,0.132092,0.0299979,0.459596,68,0.00150592,0.074973
95,0.30808080808080807,0.44010416666666663,0.4112149532710281,0.4521739130434783,0.10408326661329059,0.45625000000000004,0.1767676767676768,0.89758,0.0984179,0.055022,44,0.00549794,0.807158,0.0276305,0.35461,40,0.00236398,0.0664219
96,0.19191919191919193,0.22135416666666663,0.40654205607476634,0.34782608695652173,0.6680010675206832,0.70625,0.203030303030303,0.934663,0.0266907,0.10557,94,0.000867307,0.709065,0.016822,0.455038,88,0.00113784,0.130787
97,0.33333333333333337,0.3515625,0.40654205607476634,0.27826086956521734,0.10381638644248736,0.6875,0.18888888888888888,0.928941,0.0782585,0.248853,65,0.00397329,0.117475,0.0437613,0.0998122,92,0.0023124,0.235313
98,0.33838383838383834,0.5091145833333333,0.4439252336448598,0.3913043478260869,0.0036028823058447124,0.44999999999999996,0.04343434343434338,0.98473,0.0763288,0.133804,40,0.0083344,0.740738,0.0376805,0.253758,11,0.00568413,0.383557
99,0.7626262626262627,0.34895833333333337,0.48130841121495327,0.47536231884057967,0.6998932479316786,0.125,0.09090909090909094,0.779326,0.0684235,0.377154,86,0.000895483,0.514771,0.0954675,0.24056,86,0.00316041,0.126563
100,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5797101449275363,0.10408326661329059,0.125,0.09090909090909094,0.728187,0.0240263,0.422055,68,0.000200106,0.939288,0.0952354,0.148542,70,0.00480806,0.222624
101,0.7626262626262627,0.328125,0.46261682242990654,0.42028985507246375,0.602348545503069,0.125,0.2525252525252525,0.841017,0.0152655,0.29397,59,0.00212015,0.860788,0.0947023,0.079928,77,0.001074,0.122883
102,0.4292929292929293,0.34765625,0.46261682242990654,0.47246376811594204,0.7104350146784094,0.725,0.2585858585858586,0.861862,0.0549391,0.126952,32,0.00159108,0.606896,0.0955927,0.0438175,64,0.00259606,0.346905
103,0.2777777777777778,0.24869791666666663,0.39252336448598135,0.48115942028985503,0.30050707232452634,0.6625,0.26868686868686864,0.911337,0.0632859,0.318747,69,0.000610465,0.726116,0.0379316,0.193338,94,0.00772777,0.124966
104,0.0505050505050505,0.0859375,0.3738317757009346,0.25217391304347825,0.11115559113957829,0.48124999999999996,0.004040404040404066,0.994923,0.0494589,0.279621,88,0.00801951,0.0176248,0.0640273,0.0899593,74,0.00714088,0.305191
105,0.7626262626262627,0.6510416666666667,0.3551401869158879,0.5159420289855072,0.10408326661329059,0.125,0.09090909090909094,0.738397,0.0635257,0.160552,80,0.0047808,0.341393,0.0253999,0.0304055,5,0.00272934,0.240199
106,0.18181818181818177,0.19661458333333337,0.4112149532710281,0.35652173913043483,0.19081932212436614,0.53125,0.0828282828282828,0.968833,0.0518726,0.0372127,97,0.00378708,0.382243,0.0294076,0.128294,9,0.00484485,0.207274
107,0.7626262626262627,0.515625,0.5093457943925234,0.4492753623188406,0.7032292500667201,0.125,0.09090909090909094,0.785973,0.0799588,0.118623,22,0.00053276,0.266677,0.08152,0.41306,85,0.00639588,0.360052
108,0.2525252525252525,0.39453125,0.42056074766355145,0.21449275362318843,0.031091539898585485,0.54375,0.0696969696969697,0.976456,0.0736501,0.0176762,29,0.0040991,0.405822,0.0256617,0.230417,93,0.00124233,0.179231
109,0.030303030303030276,0.16015625,0.4018691588785047,0.3971014492753623,0.2203095809981318,0.32499999999999996,0.005050505050505083,0.993686,0.0659073,0.00866382,78,0.00346037,0.490065,0.0966939,0.120513,88,0.00105028,0.245239
110,0.40909090909090906,0.37369791666666663,0.47663551401869164,0.5014492753623188,0.5361622631438484,0.125,0.20101010101010097,0.849518,0.0694683,0.308977,34,0.00386408,0.318936,0.0187707,0.107331,21,0.00275792,0.15721
111,0.29292929292929293,0.3203125,0.4532710280373832,0.3913043478260869,0.4495596477181746,0.6125,0.2737373737373737,0.904346,0.0110691,0.200172,25,0.00645988,0.204936,0.0907272,0.126889,88,0.00213987,0.119952
112,0.2525252525252525,0.25911458333333337,0.4392523364485982,0.27826086956521734,0.5374966639978649,0.70625,0.22929292929292933,0.949123,0.0251052,0.167222,23,0.00172808,0.184413,0.0829052,0.397411,4,0.000289102,0.0997468
113,0.3484848484848485,0.30989583333333337,0.4018691588785047,0.39420289855072466,0.5197491326394449,0.66875,0.24747474747474751,0.927991,0.0484398,0.360638,64,0.000250353,0.402941,0.031486,0.485717,17,0.00658865,0.107635
114,0.7626262626262627,0.5221354166666667,0.3551401869158879,0.45797101449275357,0.473712303175874,0.125,0.09090909090909094,0.768907,0.0913106,0.499497,48,0.00328388,0.433721,0.0402827,0.207205,52,0.000110925,0.368393
115,0.7626262626262627,0.39713541666666663,0.4299065420560748,0.518840579710145,0.6585268214571658,0.24375000000000002,0.21313131313131317,0.824678,0.0402504,0.0261269,61,0.00887673,0.997978,0.062381,0.0375029,2,0.00507189,0.134186
